,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,0.7137245000000003,0.0,0.7137245000000003,0.0,0.7137245000000003,0.0,0.7137245000000003,0.0,0.7137245000000003,0.700461,0.7174935000000001
1,1.0,0.7118993300000002,1.0,0.7111031400000003,1.0,0.7089157850000002,1.0,0.7073463300000001,1.0,0.7042608100000003,0.700461,0.7174935000000001
2,2.0,0.7106043950000002,2.0,0.7089278900000002,2.0,0.7059605950000003,2.0,0.7037288600000002,2.0,0.7005446250000001,0.700461,0.7174935000000001
3,3.0,0.7090954300000002,3.0,0.7072457150000003,3.0,0.7034900250000004,3.0,0.7011994250000002,3.0,0.6986880200000003,0.700461,0.7174935000000001
4,,,4.0,0.7065815350000004,4.0,0.7024805750000003,4.0,0.7000627900000003,4.0,0.6973583550000002,0.700461,0.7174935000000001
5,,,5.0,0.7053892400000004,5.0,0.7013811150000002,5.0,0.6991946250000003,5.0,0.6968230700000003,0.700461,0.7174935000000001
6,,,,,6.0,0.7005130300000002,6.0,0.6987955200000002,6.0,0.6962910000000002,0.700461,0.7174935000000001
7,,,,,7.0,0.7002079950000002,7.0,0.6982371800000002,7.0,0.6956373500000004,0.700461,0.7174935000000001
8,,,,,8.0,0.6996681100000002,8.0,0.6976356800000001,8.0,0.6952209100000004,0.700461,0.7174935000000001
9,,,,,,,9.0,0.6971628600000003,9.0,0.6948553000000004,0.700461,0.7174935000000001
10,,,,,,,10.0,0.6965811750000002,10.0,0.6944415400000005,0.700461,0.7174935000000001
11,,,,,,,,,11.0,0.6942490350000005,0.700461,0.7174935000000001
12,,,,,,,,,12.0,0.6940070400000005,0.700461,0.7174935000000001
13,,,,,,,,,13.0,0.6939150000000005,0.700461,0.7174935000000001
