,"eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
0,,,,,,,,,-0.5,12103.86,12103.86,20789.019999999997
1,,,,,,,,,-0.499,12103.86,12103.86,20789.019999999997
2,,,,,,,,,-0.498,12103.86,12103.86,20789.019999999997
3,,,,,,,,,-0.497,12103.86,12103.86,20789.019999999997
4,,,,,,,,,-0.496,12103.86,12103.86,20789.019999999997
5,,,,,,,,,-0.495,12103.86,12103.86,20789.019999999997
6,,,,,,,,,-0.494,12103.86,12103.86,20789.019999999997
7,,,,,,,,,-0.493,12103.86,12103.86,20789.019999999997
8,,,,,,,,,-0.492,12103.86,12103.86,20789.019999999997
9,,,,,,,,,-0.491,12103.86,12103.86,20789.019999999997
10,,,,,,,,,-0.49,12103.86,12103.86,20789.019999999997
11,,,,,,,,,-0.489,12103.86,12103.86,20789.019999999997
12,,,,,,,,,-0.488,12103.86,12103.86,20789.019999999997
13,,,,,,,,,-0.487,12103.86,12103.86,20789.019999999997
14,,,,,,,,,-0.486,12103.86,12103.86,20789.019999999997
15,,,,,,,,,-0.485,12103.86,12103.86,20789.019999999997
16,,,,,,,,,-0.484,12103.86,12103.86,20789.019999999997
17,,,,,,,,,-0.483,12103.86,12103.86,20789.019999999997
18,,,,,,,,,-0.482,12103.86,12103.86,20789.019999999997
19,,,,,,,,,-0.481,12103.86,12103.86,20789.019999999997
20,,,,,,,,,-0.48,12103.86,12103.86,20789.019999999997
21,,,,,,,,,-0.47900000000000004,12103.86,12103.86,20789.019999999997
22,,,,,,,,,-0.47800000000000004,12103.86,12103.86,20789.019999999997
23,,,,,,,,,-0.47700000000000004,12103.86,12103.86,20789.019999999997
24,,,,,,,,,-0.47600000000000003,12103.86,12103.86,20789.019999999997
25,,,,,,,,,-0.47500000000000003,12103.86,12103.86,20789.019999999997
26,,,,,,,,,-0.47400000000000003,12103.86,12103.86,20789.019999999997
27,,,,,,,,,-0.47300000000000003,12103.86,12103.86,20789.019999999997
28,,,,,,,,,-0.47200000000000003,12103.86,12103.86,20789.019999999997
29,,,,,,,,,-0.47100000000000003,12103.86,12103.86,20789.019999999997
30,,,,,,,,,-0.47000000000000003,12103.86,12103.86,20789.019999999997
31,,,,,,,,,-0.46900000000000003,12103.86,12103.86,20789.019999999997
32,,,,,,,,,-0.468,12103.86,12103.86,20789.019999999997
33,,,,,,,,,-0.467,12103.86,12103.86,20789.019999999997
34,,,,,,,,,-0.466,12103.86,12103.86,20789.019999999997
35,,,,,,,,,-0.465,12103.86,12103.86,20789.019999999997
36,,,,,,,,,-0.464,12103.86,12103.86,20789.019999999997
37,,,,,,,,,-0.463,12103.86,12103.86,20789.019999999997
38,,,,,,,,,-0.462,12103.86,12103.86,20789.019999999997
39,,,,,,,,,-0.461,12103.86,12103.86,20789.019999999997
40,,,,,,,,,-0.46,12103.86,12103.86,20789.019999999997
41,,,,,,,,,-0.459,12103.86,12103.86,20789.019999999997
42,,,,,,,,,-0.458,12103.86,12103.86,20789.019999999997
43,,,,,,,,,-0.457,12103.86,12103.86,20789.019999999997
44,,,,,,,,,-0.456,12103.86,12103.86,20789.019999999997
45,,,,,,,,,-0.455,12103.86,12103.86,20789.019999999997
46,,,,,,,,,-0.454,12103.86,12103.86,20789.019999999997
47,,,,,,,,,-0.453,12103.86,12103.86,20789.019999999997
48,,,,,,,,,-0.452,12103.86,12103.86,20789.019999999997
49,,,,,,,,,-0.451,12103.86,12103.86,20789.019999999997
50,,,,,,,,,-0.45,12103.86,12103.86,20789.019999999997
51,,,,,,,,,-0.449,12103.86,12103.86,20789.019999999997
52,,,,,,,,,-0.448,12103.86,12103.86,20789.019999999997
53,,,,,,,,,-0.447,12103.86,12103.86,20789.019999999997
54,,,,,,,,,-0.446,12103.86,12103.86,20789.019999999997
55,,,,,,,,,-0.445,12103.86,12103.86,20789.019999999997
56,,,,,,,,,-0.444,12103.86,12103.86,20789.019999999997
57,,,,,,,,,-0.443,12103.86,12103.86,20789.019999999997
58,,,,,,,,,-0.442,12103.86,12103.86,20789.019999999997
59,,,,,,,,,-0.441,12103.86,12103.86,20789.019999999997
60,,,,,,,,,-0.44,12103.86,12103.86,20789.019999999997
61,,,,,,,,,-0.439,12103.86,12103.86,20789.019999999997
62,,,,,,,,,-0.438,12103.86,12103.86,20789.019999999997
63,,,,,,,,,-0.437,12103.86,12103.86,20789.019999999997
64,,,,,,,,,-0.436,12103.86,12103.86,20789.019999999997
65,,,,,,,,,-0.435,12103.86,12103.86,20789.019999999997
66,,,,,,,,,-0.434,12103.86,12103.86,20789.019999999997
67,,,,,,,,,-0.433,12103.86,12103.86,20789.019999999997
68,,,,,,,,,-0.432,12103.86,12103.86,20789.019999999997
69,,,,,,,,,-0.431,12103.86,12103.86,20789.019999999997
70,,,,,,,,,-0.43,12103.86,12103.86,20789.019999999997
71,,,,,,,,,-0.429,12103.86,12103.86,20789.019999999997
72,,,,,,,,,-0.428,12103.86,12103.86,20789.019999999997
73,,,,,,,,,-0.427,12103.86,12103.86,20789.019999999997
74,,,,,,,,,-0.426,12103.86,12103.86,20789.019999999997
75,,,,,,,,,-0.425,12103.86,12103.86,20789.019999999997
76,,,,,,,,,-0.424,12103.86,12103.86,20789.019999999997
77,,,,,,,,,-0.423,12103.86,12103.86,20789.019999999997
78,,,,,,,,,-0.422,12103.86,12103.86,20789.019999999997
79,,,,,,,,,-0.421,12103.86,12103.86,20789.019999999997
80,,,,,,,,,-0.42,12103.86,12103.86,20789.019999999997
81,,,,,,,,,-0.419,12103.86,12103.86,20789.019999999997
82,,,,,,,,,-0.418,12103.86,12103.86,20789.019999999997
83,,,,,,,,,-0.417,12103.86,12103.86,20789.019999999997
