,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,19157.694999999985,19157.694999999985,19157.694999999985,19157.694999999985,12103.86,20789.019999999997
1,1.0,18103.59247999997,16933.26402999997,17042.10937999997,17036.61865999997,12103.86,20789.019999999997
2,2.0,17239.07899999996,16295.807319999969,15995.392179999972,15996.507679999966,12103.86,20789.019999999997
3,3.0,16292.060069999972,15053.876529999976,15040.789619999978,14793.53150999996,12103.86,20789.019999999997
4,4.0,15305.539279999986,14063.978469999978,13754.890419999985,13761.960979999985,12103.86,20789.019999999997
5,5.0,14461.645879999993,12981.763670000002,12761.500970000005,12745.982900000006,12103.86,20789.019999999997
6,6.0,13642.15794,12315.428430000004,12101.952319999993,11925.476339999996,12103.86,20789.019999999997
7,7.0,13031.91688000001,11511.680690000005,11330.866700000011,11117.261170000016,12103.86,20789.019999999997
8,8.0,12352.79010000001,10952.868700000014,10589.802240000015,10594.248320000013,12103.86,20789.019999999997
9,9.0,11809.814610000009,10281.013770000009,10120.248690000006,9961.227570000006,12103.86,20789.019999999997
10,10.0,11286.645860000008,9852.601740000006,9589.050210000005,9454.591970000005,12103.86,20789.019999999997
11,11.0,10810.833000000008,9343.682870000008,9111.220260000006,8977.985040000009,12103.86,20789.019999999997
12,12.0,10309.93015000001,9006.356500000009,8767.91994000001,8702.88231000001,12103.86,20789.019999999997
13,13.0,10021.745720000012,8643.67188000001,8489.79191000001,8424.872300000008,12103.86,20789.019999999997
14,14.0,9727.285330000013,8508.006780000012,8370.557090000011,8349.86500000001,12103.86,20789.019999999997
15,15.0,9499.785910000011,8379.22715000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
16,16.0,9382.489900000015,8358.45736000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
17,17.0,9264.998170000017,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
18,18.0,9050.715220000013,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
19,19.0,9026.838700000013,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
20,20.0,8905.781720000012,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
21,21.0,8879.973820000014,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
22,22.0,8812.349540000014,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
23,23.0,8813.475900000012,8349.86500000001,8349.86936000001,8349.86500000001,12103.86,20789.019999999997
24,24.0,8786.734770000014,8389.24047000001,8402.841580000011,8400.53716000001,12103.86,20789.019999999997
25,25.0,8788.205220000016,8379.55654000001,8395.071490000013,8439.34729000001,12103.86,20789.019999999997
