,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,12103.86,20789.019999999997
1,1.0,18332.632550000006,1.0,17799.34580000001,1.0,16714.91595,1.0,16000.528850000006,1.0,14423.650549999995,12103.86,20789.019999999997
2,2.0,17620.589450000007,2.0,16727.563100000003,2.0,14910.061049999995,2.0,13781.56925,2.0,11742.933399999998,12103.86,20789.019999999997
3,3.0,17133.195750000003,3.0,15881.293650000001,3.0,13939.8223,3.0,12890.325849999997,3.0,11043.394999999999,12103.86,20789.019999999997
4,,,4.0,15233.929000000004,4.0,13164.180399999994,4.0,11945.643799999998,4.0,10414.326299999999,12103.86,20789.019999999997
5,,,5.0,14817.824600000002,5.0,12651.27525,5.0,11560.369999999999,5.0,10091.174899999996,12103.86,20789.019999999997
6,,,,,6.0,12373.240649999996,6.0,11211.550899999998,6.0,9846.60485,12103.86,20789.019999999997
7,,,,,7.0,11934.461749999999,7.0,10934.416749999999,7.0,9616.934099999999,12103.86,20789.019999999997
8,,,,,8.0,11738.543399999999,8.0,10581.6688,8.0,9360.39145,12103.86,20789.019999999997
9,,,,,,,9.0,10409.659249999999,9.0,9074.498399999997,12103.86,20789.019999999997
10,,,,,,,10.0,10113.805899999998,10.0,8794.557099999995,12103.86,20789.019999999997
11,,,,,,,,,11.0,8579.516549999997,12103.86,20789.019999999997
12,,,,,,,,,12.0,8443.151049999997,12103.86,20789.019999999997
13,,,,,,,,,13.0,8349.864999999996,12103.86,20789.019999999997
