,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,19157.694999999985,19157.694999999985,19157.694999999985,19157.694999999985,12103.86,20789.019999999997
1,1.0,18091.26749999998,16986.028659999967,17006.87707999997,17040.38644999997,12103.86,20789.019999999997
2,2.0,17262.074189999967,16251.827289999961,15998.036119999966,16009.555999999962,12103.86,20789.019999999997
3,3.0,16226.295019999976,15038.843639999977,15023.743169999976,14778.776569999958,12103.86,20789.019999999997
4,4.0,15306.486229999984,14064.44535999998,13754.416729999986,13761.100379999985,12103.86,20789.019999999997
5,5.0,14414.378819999998,12992.761590000004,12743.991790000005,12736.586610000008,12103.86,20789.019999999997
6,6.0,13603.349949999998,12307.259730000002,12105.298169999995,11918.483799999996,12103.86,20789.019999999997
7,7.0,13028.99478000001,11496.278740000005,11311.284210000014,11142.335710000018,12103.86,20789.019999999997
8,8.0,12472.240250000012,10944.351550000012,10596.224480000014,10596.522380000015,12103.86,20789.019999999997
9,9.0,11762.557580000006,10268.451750000011,10119.963300000005,9971.866560000006,12103.86,20789.019999999997
10,10.0,11225.301360000007,9859.887430000002,9570.951230000004,9447.512800000002,12103.86,20789.019999999997
11,11.0,10805.406260000009,9344.030440000006,9104.200330000003,8974.86702000001,12103.86,20789.019999999997
12,12.0,10323.904780000008,8996.688350000008,8773.27334000001,8689.723680000012,12103.86,20789.019999999997
13,13.0,9987.17659000001,8645.676460000012,8485.11764000001,8421.15577000001,12103.86,20789.019999999997
14,14.0,9759.541770000009,8504.103900000011,8371.84986000001,8349.86500000001,12103.86,20789.019999999997
15,15.0,9597.626650000011,8382.66306000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
16,16.0,9276.267380000014,8359.263930000012,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
17,17.0,9159.569890000015,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
18,18.0,9018.605410000013,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
19,19.0,8949.383010000014,8349.86500000001,8349.86500000001,8349.90990000001,12103.86,20789.019999999997
20,20.0,8955.427660000014,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
21,21.0,8905.834840000014,8349.86500000001,8349.86500000001,8349.86500000001,12103.86,20789.019999999997
22,22.0,8807.724450000012,8349.86500000001,8349.92159000001,8349.86500000001,12103.86,20789.019999999997
23,23.0,8826.056580000013,8350.00260000001,8349.87575000001,8349.86500000001,12103.86,20789.019999999997
24,24.0,8845.384290000013,8401.764460000011,8386.918690000011,8432.457900000009,12103.86,20789.019999999997
25,25.0,8761.35952000001,8372.243360000011,8428.71299000001,8425.809110000011,12103.86,20789.019999999997
