,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,12103.86,20789.019999999997
1,1.0,18323.363800000003,1.0,17868.425250000008,1.0,16785.044899999997,1.0,16043.630799999999,1.0,14111.155999999997,12103.86,20789.019999999997
2,2.0,17573.556950000006,2.0,16726.237100000002,2.0,14999.637949999995,2.0,13733.650400000004,2.0,11991.717199999996,12103.86,20789.019999999997
3,3.0,17021.630350000003,3.0,16045.880050000003,3.0,13973.3943,3.0,12691.445699999998,3.0,11072.307249999994,12103.86,20789.019999999997
4,,,4.0,15193.990350000002,4.0,13161.801200000002,4.0,12108.23755,4.0,10351.7956,12103.86,20789.019999999997
5,,,5.0,14771.668050000002,5.0,12570.45325,5.0,11530.565849999995,5.0,10074.191849999997,12103.86,20789.019999999997
6,,,,,6.0,12409.459749999998,6.0,11177.70275,6.0,9863.816599999998,12103.86,20789.019999999997
7,,,,,7.0,12085.073049999997,7.0,10945.107149999996,7.0,9583.819849999998,12103.86,20789.019999999997
8,,,,,8.0,11792.580399999995,8.0,10595.777349999998,8.0,9353.528099999998,12103.86,20789.019999999997
9,,,,,,,9.0,10356.10795,9.0,9063.301399999998,12103.86,20789.019999999997
10,,,,,,,10.0,10008.779149999998,10.0,8812.153049999997,12103.86,20789.019999999997
11,,,,,,,,,11.0,8564.985599999998,12103.86,20789.019999999997
12,,,,,,,,,12.0,8440.145399999998,12103.86,20789.019999999997
13,,,,,,,,,13.0,8349.864999999996,12103.86,20789.019999999997
