,eta,count(r=0.50),count(r=0.75),count(r=1.00),count(r=1.25),count(r=1.50)
0,-0.5,20.0,12.0,12.0,12.0,12.0
1,-0.4989979959919839,20.0,12.0,12.0,12.0,12.0
2,-0.4979959919839679,20.0,12.0,12.0,12.0,12.0
3,-0.49699398797595185,20.0,12.0,12.0,12.0,12.0
4,-0.4959919839679358,20.0,12.0,12.0,12.0,12.0
5,-0.4949899799599198,20.0,12.0,12.0,12.0,12.0
6,-0.49398797595190375,20.0,12.0,12.0,12.0,12.0
7,-0.4929859719438877,20.0,12.0,12.0,12.0,12.0
8,-0.4919839679358717,20.0,12.0,12.0,12.0,12.0
9,-0.49098196392785565,20.0,12.0,12.0,12.0,12.0
10,-0.4899799599198396,20.0,12.0,12.0,12.0,12.0
11,-0.4889779559118236,20.0,12.0,12.0,12.0,12.0
12,-0.48797595190380755,20.0,12.0,12.0,12.0,12.0
13,-0.48697394789579157,20.0,12.0,12.0,12.0,12.0
14,-0.48597194388777554,20.0,12.0,12.0,12.0,12.0
15,-0.4849699398797595,20.0,12.0,12.0,12.0,12.0
16,-0.48396793587174347,20.0,12.0,12.0,12.0,12.0
17,-0.48296593186372744,20.0,12.0,12.0,12.0,12.0
18,-0.4819639278557114,20.0,12.0,12.0,12.0,12.0
19,-0.48096192384769537,20.0,12.0,12.0,12.0,12.0
20,-0.47995991983967934,20.0,12.0,12.0,12.0,12.0
21,-0.4789579158316633,20.0,12.0,12.0,12.0,12.0
22,-0.4779559118236473,20.0,12.0,12.0,12.0,12.0
23,-0.47695390781563124,20.0,12.0,12.0,12.0,12.0
24,-0.4759519038076152,20.0,12.0,12.0,12.0,12.0
25,-0.4749498997995992,20.0,12.0,12.0,12.0,12.0
26,-0.47394789579158314,20.0,12.0,12.0,12.0,12.0
27,-0.4729458917835671,20.0,12.0,12.0,12.0,12.0
28,-0.4719438877755511,20.0,12.0,12.0,12.0,12.0
29,-0.47094188376753504,20.0,12.0,12.0,12.0,12.0
30,-0.469939879759519,20.0,12.0,12.0,12.0,12.0
31,-0.468937875751503,20.0,12.0,12.0,12.0,12.0
32,-0.46793587174348694,20.0,12.0,12.0,12.0,12.0
33,-0.4669338677354709,20.0,12.0,12.0,12.0,12.0
34,-0.4659318637274549,20.0,12.0,12.0,12.0,12.0
35,-0.46492985971943884,20.0,12.0,12.0,12.0,12.0
36,-0.4639278557114228,20.0,12.0,12.0,12.0,12.0
37,-0.4629258517034068,20.0,12.0,12.0,12.0,12.0
38,-0.46192384769539074,20.0,12.0,12.0,12.0,12.0
39,-0.4609218436873747,20.0,12.0,12.0,12.0,12.0
40,-0.4599198396793587,20.0,12.0,12.0,12.0,12.0
41,-0.45891783567134264,20.0,12.0,12.0,12.0,12.0
