,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),best price difference
0,0.0,11286.745000000003,0.0,11286.745000000003,0.0,11286.745000000003,0.0,11286.745000000003,0.0,11286.745000000003,14897.240000000002
1,1.0,10877.501550000004,1.0,10256.909750000003,1.0,9441.274800000001,1.0,8219.6065,1.0,7948.96895,14897.240000000002
2,2.0,10540.312150000003,2.0,9512.0601,2.0,7987.726950000001,2.0,5983.963999999999,2.0,5632.67815,14897.240000000002
3,3.0,9962.882450000001,3.0,8535.251700000003,3.0,6800.7952000000005,3.0,4684.834150000001,3.0,4071.90265,14897.240000000002
4,,,4.0,7904.36515,4.0,5375.2786,4.0,3142.75735,4.0,3080.1832000000004,14897.240000000002
5,,,5.0,7102.236000000002,5.0,4305.5547,5.0,2482.3750499999996,5.0,2405.1722999999997,14897.240000000002
6,,,,,6.0,3717.4847499999987,6.0,2302.6968000000006,6.0,1876.1031499999997,14897.240000000002
7,,,,,7.0,2804.4370499999995,7.0,1715.2716999999998,7.0,1633.23845,14897.240000000002
8,,,,,8.0,2422.1431,8.0,1555.5252500000001,8.0,1441.06925,14897.240000000002
9,,,,,,,9.0,1341.1178000000002,9.0,1392.0955,14897.240000000002
10,,,,,,,10.0,1274.8271000000002,10.0,1319.9538500000003,14897.240000000002
11,,,,,,,,,11.0,1262.592,14897.240000000002
12,,,,,,,,,12.0,1274.56045,14897.240000000002
13,,,,,,,,,13.0,1248.3719500000002,14897.240000000002
