,H,"payoff(eta = (0.00H, H))","payoff(eta = (0.50H, H))","payoff(eta = (0.67H, H))","payoff(eta = (0.75H, H))",pure online,best price
0,0.0,19157.69500000008,19157.69500000008,19157.69500000008,19157.69500000008,12103.86,20789.019999999997
1,1.0,18085.81893000003,16992.979114999995,16988.830349999997,16961.952355,12103.86,20789.019999999997
2,2.0,17249.957765000036,16304.011904999996,15995.648499999961,15995.239124999958,12103.86,20789.019999999997
3,3.0,16213.300125000003,15029.638744999984,15027.444989999984,14793.583934999991,12103.86,20789.019999999997
4,4.0,15282.05273999999,14074.082104999985,13762.922504999977,13752.561799999981,12103.86,20789.019999999997
5,5.0,14471.739609999995,12985.136644999993,12742.715200000002,12738.678780000006,12103.86,20789.019999999997
6,6.0,13664.98997500001,12316.471210000007,12093.507560000004,11907.23598500001,12103.86,20789.019999999997
7,7.0,12977.129095000008,11511.165950000002,11324.480025000003,11137.443834999995,12103.86,20789.019999999997
8,8.0,12336.938930000008,10955.648914999996,10595.71719499999,10590.393004999987,12103.86,20789.019999999997
9,9.0,11763.924070000001,10272.696009999981,10116.790884999977,9964.365464999984,12103.86,20789.019999999997
10,10.0,11286.796954999994,9846.530639999977,9583.802714999974,9454.924819999978,12103.86,20789.019999999997
11,11.0,10782.132854999993,9341.553879999978,9101.233959999978,8968.96656499997,12103.86,20789.019999999997
12,12.0,10372.561244999986,8995.377444999976,8775.945149999974,8693.505484999976,12103.86,20789.019999999997
13,13.0,10010.402284999982,8644.202854999978,8485.773694999983,8424.477199999983,12103.86,20789.019999999997
14,14.0,9744.122609999982,8503.767324999983,8371.124569999987,8349.864999999987,12103.86,20789.019999999997
15,15.0,9535.533244999984,8380.872274999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
16,16.0,9299.434209999985,8357.656439999988,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
17,17.0,9137.149479999982,8349.864999999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
18,18.0,9080.889259999985,8349.864999999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
19,19.0,8987.034749999986,8349.864999999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
20,20.0,8935.268909999988,8349.864999999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
21,21.0,8827.361329999989,8349.864999999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
22,22.0,8807.025634999989,8349.864999999987,8349.864999999987,8349.864999999987,12103.86,20789.019999999997
23,23.0,8818.957784999988,8349.864999999987,8349.870374999988,8349.935899999986,12103.86,20789.019999999997
24,24.0,8803.773359999988,8383.249814999988,8394.98764499999,8427.764704999989,12103.86,20789.019999999997
25,25.0,8791.728834999989,8384.68819999999,8408.55196999999,8416.178294999987,12103.86,20789.019999999997
