,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,0.0,19157.695000000007,12103.86,20789.019999999997
1,1.0,18377.924950000008,1.0,17875.904349999997,1.0,16523.426299999992,1.0,15782.143200000002,1.0,14384.465299999996,12103.86,20789.019999999997
2,2.0,17677.025650000003,2.0,16586.372750000002,2.0,15040.438449999996,2.0,13927.690649999999,2.0,12050.616399999994,12103.86,20789.019999999997
3,3.0,16904.75415,3.0,15884.009200000004,3.0,13879.983499999997,3.0,12838.468099999998,3.0,11007.589199999999,12103.86,20789.019999999997
4,,,4.0,15289.96515,4.0,13109.3845,4.0,12021.934999999998,4.0,10511.09215,12103.86,20789.019999999997
5,,,5.0,14610.65735,5.0,12727.735149999999,5.0,11573.618899999998,5.0,10156.315099999998,12103.86,20789.019999999997
6,,,,,6.0,12342.514699999998,6.0,11253.218399999998,6.0,9895.80115,12103.86,20789.019999999997
7,,,,,7.0,12013.279399999996,7.0,10990.16515,7.0,9597.781549999998,12103.86,20789.019999999997
8,,,,,8.0,11728.644349999999,8.0,10639.876999999997,8.0,9368.623749999999,12103.86,20789.019999999997
9,,,,,,,9.0,10356.437199999997,9.0,9083.115699999998,12103.86,20789.019999999997
10,,,,,,,10.0,10059.857649999998,10.0,8791.945299999996,12103.86,20789.019999999997
11,,,,,,,,,11.0,8577.490849999998,12103.86,20789.019999999997
12,,,,,,,,,12.0,8442.292699999996,12103.86,20789.019999999997
13,,,,,,,,,13.0,8349.864999999996,12103.86,20789.019999999997
