,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,19247.19999999999,19247.19999999999,19247.19999999999,19247.19999999999,12691.175000000001,20789.019999999997
1,1.0,18159.72113999999,17104.415150000008,17125.16502000001,17129.039250000013,12691.175000000001,20789.019999999997
2,2.0,17342.82155999996,16383.574949999955,16301.658629999942,16286.670249999937,12691.175000000001,20789.019999999997
3,3.0,16392.222019999957,15120.381829999975,15112.248999999973,14957.98736999997,12691.175000000001,20789.019999999997
4,4.0,15267.324279999977,14154.43514999998,13811.20448999998,13803.245259999978,12691.175000000001,20789.019999999997
5,5.0,14470.441139999986,13042.822139999998,12753.745110000007,12767.32166000001,12691.175000000001,20789.019999999997
6,6.0,13683.479039999997,12282.163800000002,12085.149829999995,11940.084869999995,12691.175000000001,20789.019999999997
7,7.0,12895.769050000004,11523.65947000001,11304.578270000015,11134.060880000023,12691.175000000001,20789.019999999997
8,8.0,12299.685420000009,10892.876300000014,10563.876000000013,10560.253090000011,12691.175000000001,20789.019999999997
9,9.0,11690.01348000001,10221.782780000005,10073.777690000006,9948.850510000007,12691.175000000001,20789.019999999997
10,10.0,11212.354950000008,9778.621300000008,9564.56278000001,9434.907070000012,12691.175000000001,20789.019999999997
11,11.0,10690.93166000001,9287.236190000007,9080.460700000007,8968.822010000009,12691.175000000001,20789.019999999997
12,12.0,10255.811040000011,8955.408680000011,8756.361450000011,8680.535070000009,12691.175000000001,20789.019999999997
13,13.0,9949.94111000001,8614.38484000001,8491.63157000001,8436.08253000001,12691.175000000001,20789.019999999997
14,14.0,9675.650770000015,8487.85727000001,8382.01617000001,8361.99548000001,12691.175000000001,20789.019999999997
15,15.0,9467.322850000013,8379.47618000001,8354.019280000011,8354.053700000011,12691.175000000001,20789.019999999997
16,16.0,9322.440460000016,8360.59370000001,8351.045850000011,8350.249400000012,12691.175000000001,20789.019999999997
17,17.0,9200.222690000015,8350.532310000011,8349.92159000001,8349.92159000001,12691.175000000001,20789.019999999997
18,18.0,8990.422410000014,8350.00061000001,8349.86500000001,8349.86500000001,12691.175000000001,20789.019999999997
19,19.0,8972.725220000013,8349.86500000001,8349.86500000001,8349.86500000001,12691.175000000001,20789.019999999997
20,20.0,8948.467290000013,8349.86500000001,8350.151420000011,8350.018280000011,12691.175000000001,20789.019999999997
21,21.0,8828.359900000014,8349.86500000001,8349.86500000001,8349.86500000001,12691.175000000001,20789.019999999997
22,22.0,8868.668500000014,8349.86500000001,8349.933870000012,8349.86500000001,12691.175000000001,20789.019999999997
23,23.0,8870.365990000017,8349.86500000001,8349.86500000001,8350.35447000001,12691.175000000001,20789.019999999997
24,24.0,8877.026630000013,8377.440390000009,8388.38655000001,8380.324690000012,12691.175000000001,20789.019999999997
25,25.0,8807.216320000016,8381.019830000008,8417.838750000012,8412.23974000001,12691.175000000001,20789.019999999997
