,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,19247.20000000001,0.0,19247.20000000001,0.0,19247.20000000001,0.0,19247.20000000001,0.0,19247.20000000001,12691.175000000001,20789.019999999997
1,1.0,18251.312050000008,1.0,17596.00730000001,1.0,16340.905900000002,1.0,15523.037700000004,1.0,13626.337699999995,12691.175000000001,20789.019999999997
2,2.0,17610.495400000007,2.0,16785.406200000005,2.0,14819.8016,2.0,13353.2924,2.0,11561.566399999998,12691.175000000001,20789.019999999997
3,3.0,17223.54690000001,3.0,15972.507200000007,3.0,13808.404599999998,3.0,12237.312699999999,3.0,10524.26745,12691.175000000001,20789.019999999997
4,,,4.0,15281.984050000005,4.0,12942.12465,4.0,11866.264299999995,4.0,10235.048550000001,12691.175000000001,20789.019999999997
5,,,5.0,14729.122200000003,5.0,12543.064349999997,5.0,11198.965349999997,5.0,9899.3815,12691.175000000001,20789.019999999997
6,,,,,6.0,12139.669849999997,6.0,11123.276799999998,6.0,9706.406599999998,12691.175000000001,20789.019999999997
7,,,,,7.0,11926.017399999997,7.0,10804.861699999998,7.0,9474.2701,12691.175000000001,20789.019999999997
8,,,,,8.0,11751.087249999999,8.0,10549.983899999996,8.0,9253.103099999997,12691.175000000001,20789.019999999997
9,,,,,,,9.0,10297.773549999998,9.0,9009.008549999997,12691.175000000001,20789.019999999997
10,,,,,,,10.0,10031.483049999999,10.0,8750.044749999997,12691.175000000001,20789.019999999997
11,,,,,,,,,11.0,8576.628749999998,12691.175000000001,20789.019999999997
12,,,,,,,,,12.0,8480.127999999997,12691.175000000001,20789.019999999997
13,,,,,,,,,13.0,8390.320299999998,12691.175000000001,20789.019999999997
