,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,11180.149999999998,0.0,11180.149999999998,0.0,11180.149999999998,0.0,11180.149999999998,0.0,11180.149999999998,8778.234999999999,11308.875000000004
1,1.0,10966.055199999999,1.0,10896.643499999995,1.0,10635.3486,1.0,10434.28795,1.0,10116.56395,8778.234999999999,11308.875000000004
2,2.0,10808.998349999998,2.0,10641.625,2.0,10310.168399999999,2.0,9985.436599999999,2.0,9641.0399,8778.234999999999,11308.875000000004
3,,,3.0,10485.074599999998,3.0,10092.2192,3.0,9797.531350000005,3.0,9392.5522,8778.234999999999,11308.875000000004
4,,,4.0,10349.076550000002,4.0,9941.22415,4.0,9678.8942,4.0,9332.024000000003,8778.234999999999,11308.875000000004
5,,,,,5.0,9824.447950000003,5.0,9567.225800000002,5.0,9248.351350000003,8778.234999999999,11308.875000000004
6,,,,,6.0,9757.992550000003,6.0,9507.583000000002,6.0,9191.683550000003,8778.234999999999,11308.875000000004
7,,,,,7.0,9671.698250000001,7.0,9437.333800000004,7.0,9131.047350000003,8778.234999999999,11308.875000000004
8,,,,,,,8.0,9398.493950000002,8.0,9061.8523,8778.234999999999,11308.875000000004
9,,,,,,,9.0,9313.594100000004,9.0,8994.1098,8778.234999999999,11308.875000000004
10,,,,,,,,,10.0,8919.8501,8778.234999999999,11308.875000000004
11,,,,,,,,,11.0,8826.94,8778.234999999999,11308.875000000004
12,,,,,,,,,12.0,8752.281500000001,8778.234999999999,11308.875000000004
