,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,83.82250000000002,86.46395
1,1.0,85.81014500000003,1.0,85.58059550000004,1.0,85.30486950000002,1.0,85.01172400000002,1.0,84.60586350000001,83.82250000000002,86.46395
2,2.0,85.55070350000004,2.0,85.28101800000003,2.0,84.76515950000002,2.0,84.358165,2.0,83.81613800000002,83.82250000000002,86.46395
3,3.0,85.40769200000003,3.0,85.00774600000001,3.0,84.38841750000002,3.0,84.05268850000002,3.0,83.5932645,83.82250000000002,86.46395
4,,,4.0,84.79747950000001,4.0,84.16185300000002,4.0,83.79467050000001,4.0,83.42370000000001,83.82250000000002,86.46395
5,,,5.0,84.62548800000002,5.0,84.01720500000002,5.0,83.676522,5.0,83.28746600000002,83.82250000000002,86.46395
6,,,,,6.0,83.90280650000001,6.0,83.592826,6.0,83.20572100000001,83.82250000000002,86.46395
7,,,,,7.0,83.808603,7.0,83.498816,7.0,83.13126650000001,83.82250000000002,86.46395
8,,,,,8.0,83.716584,8.0,83.41707950000001,8.0,83.06253600000002,83.82250000000002,86.46395
9,,,,,,,9.0,83.3468515,9.0,83.00641900000001,83.82250000000002,86.46395
10,,,,,,,10.0,83.27098700000002,10.0,82.957001,83.82250000000002,86.46395
11,,,,,,,,,11.0,82.93004399999998,83.82250000000002,86.46395
12,,,,,,,,,12.0,82.9132035,83.82250000000002,86.46395
13,,,,,,,,,13.0,82.90455,83.82250000000002,86.46395
