,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,83.82250000000002,86.46395
1,1.0,85.77587300000005,1.0,85.60308000000002,1.0,85.25055950000004,1.0,85.02341700000001,1.0,84.54745050000004,83.82250000000002,86.46395
2,2.0,85.56619950000005,2.0,85.27059400000005,2.0,84.74898750000001,2.0,84.412195,2.0,83.86730300000002,83.82250000000002,86.46395
3,3.0,85.42576150000001,3.0,85.03946300000001,3.0,84.3692855,3.0,84.0410445,3.0,83.60027900000003,83.82250000000002,86.46395
4,,,4.0,84.7881045,4.0,84.18571900000002,4.0,83.819459,4.0,83.3826515,83.82250000000002,86.46395
5,,,5.0,84.67691400000001,5.0,84.00738050000001,5.0,83.66923100000001,5.0,83.30110450000001,83.82250000000002,86.46395
6,,,,,6.0,83.88217500000002,6.0,83.607068,6.0,83.20264000000002,83.82250000000002,86.46395
7,,,,,7.0,83.79611200000002,7.0,83.49128500000002,7.0,83.12192450000002,83.82250000000002,86.46395
8,,,,,8.0,83.73683650000001,8.0,83.42540600000001,8.0,83.07217750000002,83.82250000000002,86.46395
9,,,,,,,9.0,83.33544500000002,9.0,82.99036800000002,83.82250000000002,86.46395
10,,,,,,,10.0,83.26620700000001,10.0,82.954074,83.82250000000002,86.46395
11,,,,,,,,,11.0,82.92412249999998,83.82250000000002,86.46395
12,,,,,,,,,12.0,82.91189299999999,83.82250000000002,86.46395
13,,,,,,,,,13.0,82.90455,83.82250000000002,86.46395
