,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
0,-0.05,83.9691,-0.1,83.9691,-0.2,83.9691,-0.2,83.9691,-0.3,83.9691,-0.4,83.9691,-0.5,83.9691,83.9691,86.46395
1,-0.04,83.9691,-0.09,83.9691,-0.19,83.9691,-0.19,83.9691,-0.29,83.9691,-0.39,83.9691,-0.49,83.9691,83.9691,86.46395
2,-0.03,83.9691,-0.08,83.9691,-0.18,83.9691,-0.18,83.9691,-0.28,83.9691,-0.38,83.9691,-0.48,83.9691,83.9691,86.46395
3,-0.02,83.9691,-0.07,83.9691,-0.17,83.9691,-0.17,83.9691,-0.27,83.9691,-0.37,83.9691,-0.47000000000000003,83.9691,83.9691,86.46395
4,-0.01,83.9691,-0.06,83.9691,-0.16,83.9691,-0.16,83.9691,-0.26,83.9691,-0.36,83.9691,-0.46,83.9691,83.9691,86.46395
5,-0.0,83.9691,-0.05,83.9691,-0.15,83.9691,-0.15,83.9691,-0.25,83.9691,-0.35000000000000003,83.9691,-0.45,83.9691,83.9691,86.46395
6,0.0,83.9691,-0.04,83.9691,-0.14,83.9691,-0.14,83.9691,-0.24,83.9691,-0.34,83.9691,-0.44,83.9691,83.9691,86.46395
7,0.01,83.9691,-0.03,83.9691,-0.13,83.9691,-0.13,83.9691,-0.23,83.9691,-0.33,83.9691,-0.43,83.9691,83.9691,86.46395
8,0.02,83.9691,-0.02,83.9691,-0.12,83.9691,-0.12,83.9691,-0.22,83.9691,-0.32,83.9691,-0.42,83.9691,83.9691,86.46395
9,0.03,83.9691,-0.01,83.9691,-0.11,83.9691,-0.11,83.9691,-0.21,83.9691,-0.31,83.9691,-0.41000000000000003,83.9691,83.9691,86.46395
10,0.04,83.9691,-0.0,83.9691,-0.1,83.9691,-0.1,83.9691,-0.2,83.9691,-0.3,83.9691,-0.4,83.9691,83.9691,86.46395
11,0.05,83.9691,0.0,83.9691,-0.09,83.9691,-0.09,83.9691,-0.19,83.9691,-0.29,83.9691,-0.39,83.9691,83.9691,86.46395
12,,,0.01,83.9691,-0.08,83.9691,-0.08,83.9691,-0.18,83.9691,-0.28,83.9691,-0.38,83.9691,83.9691,86.46395
13,,,0.02,83.9691,-0.07,83.9691,-0.07,83.9691,-0.17,83.9691,-0.27,83.9691,-0.37,83.9691,83.9691,86.46395
14,,,0.03,83.9691,-0.06,83.9691,-0.06,83.9691,-0.16,83.9691,-0.26,83.9691,-0.36,83.9691,83.9691,86.46395
15,,,0.04,83.9691,-0.05,83.9691,-0.05,83.9691,-0.15,83.9691,-0.25,83.9691,-0.35000000000000003,83.9691,83.9691,86.46395
16,,,0.05,83.9691,-0.04,83.9691,-0.04,83.9691,-0.14,83.9691,-0.24,83.9691,-0.34,83.9691,83.9691,86.46395
17,,,0.06,83.9691,-0.03,83.9691,-0.03,83.9691,-0.13,83.9691,-0.23,83.9691,-0.33,83.9691,83.9691,86.46395
18,,,0.07,83.9691,-0.02,83.9691,-0.02,83.9691,-0.12,83.9691,-0.22,83.9691,-0.32,83.9691,83.9691,86.46395
19,,,0.08,83.9691,-0.01,83.9691,-0.01,83.9691,-0.11,83.9691,-0.21,83.9691,-0.31,83.9691,83.9691,86.46395
20,,,0.09,83.9691,-0.0,83.9691,-0.0,83.9691,-0.1,83.9691,-0.2,83.9691,-0.3,83.9691,83.9691,86.46395
21,,,0.1,83.9691,0.0,83.9691,0.0,83.9691,-0.09,83.9691,-0.19,83.9691,-0.29,83.9691,83.9691,86.46395
