,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.50)
0,-0.12921723787627656,82.009,84.479,82.009,82.009,82.009,78.521
1,-0.12820772820536816,82.009,84.479,82.009,82.009,82.009,78.521
2,-0.12719821853445976,82.009,84.479,82.009,82.009,82.009,78.521
3,-0.12618870886355132,82.009,84.479,82.009,82.009,82.009,78.521
4,-0.12517919919264292,82.009,84.479,82.009,82.009,82.009,78.521
5,-0.12416968952173452,82.009,84.479,82.009,82.009,82.009,78.521
6,-0.1231601798508261,82.009,84.479,82.009,82.009,82.009,78.521
7,-0.1221506701799177,82.009,84.479,82.009,82.009,82.009,78.521
8,-0.12114116050900928,82.009,84.479,82.009,82.009,82.009,78.521
9,-0.12013165083810087,82.009,84.479,82.009,82.009,82.009,78.521
10,-0.11912214116719246,82.009,84.479,82.009,82.009,82.009,78.521
11,-0.11811263149628405,82.009,84.479,82.009,82.009,82.009,78.521
12,-0.11710312182537563,82.009,84.479,82.009,82.009,82.009,78.521
13,-0.11609361215446723,82.009,84.479,82.009,82.009,82.009,78.521
14,-0.11508410248355881,82.009,84.479,82.009,82.009,82.009,78.521
15,-0.11407459281265041,82.009,84.479,82.009,82.009,82.009,78.521
16,-0.11306508314174199,82.009,84.479,82.009,82.009,82.009,78.521
17,-0.11205557347083359,82.009,84.479,82.009,82.009,82.009,78.521
18,-0.11104606379992517,82.009,84.479,82.009,82.009,82.009,78.521
19,-0.11003655412901676,82.009,84.479,82.009,82.009,82.009,78.521
20,-0.10902704445810835,82.009,84.479,82.009,82.009,82.009,78.521
21,-0.10801753478719994,82.009,84.479,82.009,82.009,82.009,78.521
22,-0.10700802511629152,82.009,84.479,82.009,82.009,82.009,78.521
23,-0.10599851544538312,82.009,84.479,82.009,82.009,82.009,78.521
24,-0.1049890057744747,82.009,84.479,82.009,82.009,82.009,78.521
25,-0.1039794961035663,82.009,84.479,82.009,82.009,82.009,78.521
26,-0.10296998643265788,82.009,84.479,82.009,82.009,82.009,78.521
27,-0.10196047676174948,82.009,84.479,82.009,82.009,82.009,78.521
