,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),best price difference
0,0.0,7.041299999999994,0.0,7.041299999999994,0.0,7.041299999999994,0.0,7.041299999999994,0.0,7.041299999999994,8.355749999999997
1,1.0,6.8844504999999945,1.0,6.641748499999994,1.0,6.157145499999993,1.0,5.637142499999994,1.0,5.467657499999995,8.355749999999997
2,2.0,6.658362999999996,2.0,6.237113999999995,2.0,5.303994499999993,2.0,4.503984999999997,2.0,4.259396999999997,8.355749999999997
3,3.0,6.415519999999994,3.0,5.791899999999995,3.0,4.628943499999996,3.0,3.6600084999999978,3.0,3.4610199999999978,8.355749999999997
4,,,4.0,5.444380999999995,4.0,4.039836499999997,4.0,2.979486499999999,4.0,2.927018499999998,8.355749999999997
5,,,5.0,5.001530499999997,5.0,3.633503999999997,5.0,2.4769045,5.0,2.454385999999999,8.355749999999997
6,,,,,6.0,3.057531999999998,6.0,2.1228605000000007,6.0,2.1431774999999993,8.355749999999997
7,,,,,7.0,2.6811159999999985,7.0,1.9403830000000002,7.0,1.8635254999999997,8.355749999999997
8,,,,,8.0,2.2533854999999994,8.0,1.6727784999999997,8.0,1.7183005000000005,8.355749999999997
9,,,,,,,9.0,1.5426365,9.0,1.6167539999999998,8.355749999999997
10,,,,,,,10.0,1.4846725000000003,10.0,1.5302464999999998,8.355749999999997
11,,,,,,,,,11.0,1.505739,8.355749999999997
12,,,,,,,,,12.0,1.4891420000000004,8.355749999999997
13,,,,,,,,,13.0,1.4679895000000003,8.355749999999997
