,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,0.0,86.06165000000001,83.82250000000002,86.46395
1,1.0,85.80064750000003,1.0,85.59971950000003,1.0,85.22472600000002,1.0,85.03872150000001,1.0,84.57500850000002,83.82250000000002,86.46395
2,2.0,85.61285800000003,2.0,85.23844450000001,2.0,84.74271800000004,2.0,84.39683100000002,2.0,83.820469,83.82250000000002,86.46395
3,3.0,85.35852350000003,3.0,85.01108600000002,3.0,84.36955850000001,3.0,84.062869,3.0,83.53186350000001,83.82250000000002,86.46395
4,,,4.0,84.78411250000002,4.0,84.16462450000003,4.0,83.8138905,4.0,83.37851250000003,83.82250000000002,86.46395
5,,,5.0,84.63610650000001,5.0,84.0029335,5.0,83.6724675,5.0,83.2755075,83.82250000000002,86.46395
6,,,,,6.0,83.88587650000001,6.0,83.60156100000003,6.0,83.21041400000003,83.82250000000002,86.46395
7,,,,,7.0,83.8076985,7.0,83.51655300000002,7.0,83.130171,83.82250000000002,86.46395
8,,,,,8.0,83.74579100000001,8.0,83.41525750000002,8.0,83.06080950000003,83.82250000000002,86.46395
9,,,,,,,9.0,83.32891050000002,9.0,83.00781500000001,83.82250000000002,86.46395
10,,,,,,,10.0,83.25461850000002,10.0,82.955496,83.82250000000002,86.46395
11,,,,,,,,,11.0,82.92264499999999,83.82250000000002,86.46395
12,,,,,,,,,12.0,82.9077655,83.82250000000002,86.46395
13,,,,,,,,,13.0,82.90455,83.82250000000002,86.46395
