,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,86.05970000000008,86.05970000000008,86.05970000000008,86.05970000000008,83.9691,86.46395
1,1.0,85.74259099999998,85.43687949999985,85.42169219999982,85.43703409999983,83.9691,86.46395
2,2.0,85.34084639999986,84.98426049999978,84.90466729999972,84.90375569999972,83.9691,86.46395
3,3.0,85.03535139999978,84.60812069999967,84.60739019999968,84.51487149999961,83.9691,86.46395
4,4.0,84.74510289999976,84.32306569999965,84.24936179999963,84.24008039999967,83.9691,86.46395
5,5.0,84.45650589999971,83.97510549999964,83.92869759999964,83.91993779999964,83.9691,86.46395
6,6.0,84.22672649999973,83.78505949999968,83.75193709999968,83.70835829999967,83.9691,86.46395
7,7.0,84.02727399999972,83.59187079999968,83.54995179999969,83.50748149999967,83.9691,86.46395
8,8.0,83.85190289999973,83.4496894999997,83.37124209999975,83.37006489999973,83.9691,86.46395
9,9.0,83.68495249999975,83.28227079999974,83.25799429999975,83.21895179999976,83.9691,86.46395
10,10.0,83.54037139999977,83.16671539999976,83.10936269999975,83.08193379999975,83.9691,86.46395
11,11.0,83.42137829999976,83.03750539999974,82.98856809999975,82.97088769999974,83.9691,86.46395
12,12.0,83.32499779999978,82.97788759999976,82.94383559999974,82.93244879999973,83.9691,86.46395
13,13.0,83.25805209999979,82.92390689999974,82.91584999999975,82.91642419999975,83.9691,86.46395
14,14.0,83.2075552999998,82.91203899999975,82.91053849999975,82.91106509999975,83.9691,86.46395
15,15.0,83.16300939999977,82.90725469999975,82.90751079999976,82.90747199999974,83.9691,86.46395
16,16.0,83.12474169999977,82.90552399999974,82.90562139999975,82.90630319999975,83.9691,86.46395
17,17.0,83.08828109999979,82.90484219999975,82.90532919999974,82.90503699999974,83.9691,86.46395
18,18.0,83.09290099999977,82.90474479999975,82.90474479999975,82.90454999999974,83.9691,86.46395
19,19.0,83.06708409999978,82.90474479999975,82.90464739999975,82.90464739999975,83.9691,86.46395
20,20.0,83.06187539999976,82.90454999999974,82.90454999999974,82.90454999999974,83.9691,86.46395
21,21.0,83.04613229999978,82.90454999999974,82.90454999999974,82.90454999999974,83.9691,86.46395
22,22.0,83.05412879999975,82.90454999999974,82.90454999999974,82.90454999999974,83.9691,86.46395
23,23.0,83.03812029999976,82.90454999999974,82.90454999999974,82.90454999999974,83.9691,86.46395
24,24.0,83.03603469999977,82.91416839999974,82.91847439999975,82.91744559999974,83.9691,86.46395
25,25.0,83.04954019999975,82.91242939999974,82.91521029999976,82.91644409999974,83.9691,86.46395
