,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,86.05970000000003,0.0,86.05970000000003,0.0,86.05970000000003,0.0,86.05970000000003,0.0,86.05970000000003,83.9691,86.46395
1,1.0,85.79858800000002,1.0,85.58973000000005,1.0,85.12002350000003,1.0,84.83515800000002,1.0,84.44024199999998,83.9691,86.46395
2,2.0,85.56651900000001,2.0,85.2231315,2.0,84.63893150000003,2.0,84.27391500000002,2.0,83.63144399999999,83.9691,86.46395
3,3.0,85.348113,3.0,84.95453550000002,3.0,84.24837550000002,3.0,83.7969655,3.0,83.340719,83.9691,86.46395
4,,,4.0,84.76047500000001,4.0,84.0220575,4.0,83.66104,4.0,83.22819050000001,83.9691,86.46395
5,,,5.0,84.59047800000005,5.0,83.82802000000001,5.0,83.5149005,5.0,83.18527500000002,83.9691,86.46395
6,,,,,6.0,83.78091900000001,6.0,83.45072350000001,6.0,83.12342550000002,83.9691,86.46395
7,,,,,7.0,83.6561415,7.0,83.42594299999999,7.0,83.06178550000001,83.9691,86.46395
8,,,,,8.0,83.61749600000002,8.0,83.34424600000001,8.0,83.02040500000001,83.9691,86.46395
9,,,,,,,9.0,83.28709950000002,9.0,82.974968,83.9691,86.46395
10,,,,,,,10.0,83.24207500000001,10.0,82.954922,83.9691,86.46395
11,,,,,,,,,11.0,82.93365299999999,83.9691,86.46395
12,,,,,,,,,12.0,82.93222649999998,83.9691,86.46395
13,,,,,,,,,13.0,82.92826649999998,83.9691,86.46395
