,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,86.22540000000006,0.0,86.22540000000006,0.0,86.22540000000006,0.0,86.22540000000006,0.0,86.22540000000006,84.1728,86.45955000000001
1,1.0,86.05030950000005,1.0,85.98136350000006,1.0,85.75005150000007,1.0,85.62892000000002,1.0,85.24826900000004,84.1728,86.45955000000001
2,2.0,85.89088300000004,2.0,85.79019450000006,2.0,85.37081650000006,2.0,85.17492000000001,2.0,84.79497550000002,84.1728,86.45955000000001
3,,,3.0,85.63841800000004,3.0,85.23230750000005,3.0,84.953931,3.0,84.58919250000004,84.1728,86.45955000000001
4,,,4.0,85.52610200000001,4.0,85.09158500000004,4.0,84.82808200000001,4.0,84.4873735,84.1728,86.45955000000001
5,,,,,5.0,84.99525450000002,5.0,84.71048900000001,5.0,84.44141950000002,84.1728,86.45955000000001
6,,,,,6.0,84.90736150000002,6.0,84.63561300000002,6.0,84.39419000000002,84.1728,86.45955000000001
7,,,,,7.0,84.84123749999999,7.0,84.5938055,7.0,84.36358550000001,84.1728,86.45955000000001
8,,,,,,,8.0,84.54094799999999,8.0,84.29987000000003,84.1728,86.45955000000001
9,,,,,,,9.0,84.47272749999999,9.0,84.26359200000005,84.1728,86.45955000000001
10,,,,,,,,,10.0,84.21552050000003,84.1728,86.45955000000001
11,,,,,,,,,11.0,84.19336050000004,84.1728,86.45955000000001
12,,,,,,,,,12.0,84.17869650000003,84.1728,86.45955000000001
