,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
0,-0.05,915.6049999999999,-0.1,830.8700000000001,-0.2,716.2050000000002,-0.2,647.26,-0.3,597.015,-0.4,536.17,-0.5,487.93500000000006,477.58500000000004,977.1200000000001
1,-0.049,916.4,-0.099,831.4399999999999,-0.199,716.925,-0.199,647.26,-0.299,597.015,-0.399,536.17,-0.499,499.86499999999995,477.58500000000004,977.1200000000001
2,-0.048,916.4,-0.098,832.51,-0.198,717.6650000000002,-0.198,647.26,-0.298,597.015,-0.398,536.17,-0.498,499.86499999999995,477.58500000000004,977.1200000000001
3,-0.047,916.4,-0.097,832.51,-0.197,717.6650000000002,-0.197,647.26,-0.297,597.015,-0.397,536.17,-0.497,499.86499999999995,477.58500000000004,977.1200000000001
4,-0.046,916.4,-0.096,832.51,-0.196,717.6650000000002,-0.196,647.26,-0.296,597.015,-0.396,536.17,-0.496,499.86499999999995,477.58500000000004,977.1200000000001
5,-0.045,916.4,-0.095,842.15,-0.195,717.6650000000002,-0.195,647.26,-0.295,597.015,-0.395,536.17,-0.495,499.86499999999995,477.58500000000004,977.1200000000001
6,-0.044,916.4,-0.094,842.15,-0.194,717.6650000000002,-0.194,647.26,-0.294,597.015,-0.394,536.17,-0.494,499.86499999999995,477.58500000000004,977.1200000000001
7,-0.043000000000000003,916.5799999999999,-0.093,842.15,-0.193,717.6650000000002,-0.193,647.26,-0.293,597.015,-0.393,536.17,-0.493,499.86499999999995,477.58500000000004,977.1200000000001
8,-0.042,916.5799999999999,-0.092,842.15,-0.192,717.6650000000002,-0.192,647.26,-0.292,597.015,-0.392,536.17,-0.492,499.86499999999995,477.58500000000004,977.1200000000001
9,-0.041,916.5799999999999,-0.091,842.15,-0.191,717.6650000000002,-0.191,647.26,-0.291,597.015,-0.391,536.17,-0.491,499.86499999999995,477.58500000000004,977.1200000000001
10,-0.04,925.28,-0.09,842.15,-0.19,717.6650000000002,-0.19,647.26,-0.29,597.015,-0.39,536.17,-0.49,499.86499999999995,477.58500000000004,977.1200000000001
11,-0.039,925.28,-0.089,842.15,-0.189,717.6650000000002,-0.189,647.26,-0.289,597.015,-0.389,536.17,-0.489,499.86499999999995,477.58500000000004,977.1200000000001
12,-0.038,925.28,-0.088,842.15,-0.188,717.6650000000002,-0.188,647.26,-0.28800000000000003,597.015,-0.388,536.17,-0.488,499.86499999999995,477.58500000000004,977.1200000000001
13,-0.037,926.1600000000001,-0.08700000000000001,842.15,-0.187,717.6650000000002,-0.187,647.26,-0.28700000000000003,597.5099999999999,-0.387,536.17,-0.487,499.86499999999995,477.58500000000004,977.1200000000001
14,-0.036000000000000004,926.945,-0.08600000000000001,842.15,-0.186,717.6650000000002,-0.186,647.26,-0.28600000000000003,597.5099999999999,-0.386,536.17,-0.486,499.86499999999995,477.58500000000004,977.1200000000001
15,-0.035,926.945,-0.085,842.15,-0.185,717.6650000000002,-0.185,647.26,-0.28500000000000003,597.5099999999999,-0.385,536.17,-0.485,499.86499999999995,477.58500000000004,977.1200000000001
16,-0.034,926.945,-0.084,842.15,-0.184,717.6650000000002,-0.184,647.26,-0.28400000000000003,597.5099999999999,-0.384,536.17,-0.484,499.86499999999995,477.58500000000004,977.1200000000001
17,-0.033,926.945,-0.083,842.15,-0.183,717.6650000000002,-0.183,648.675,-0.28300000000000003,597.5099999999999,-0.383,536.17,-0.483,499.86499999999995,477.58500000000004,977.1200000000001
18,-0.032,929.3700000000001,-0.082,842.15,-0.182,718.3,-0.182,648.675,-0.28200000000000003,608.8549999999999,-0.382,536.17,-0.482,499.86499999999995,477.58500000000004,977.1200000000001
19,-0.031,929.3700000000001,-0.081,842.15,-0.181,718.3,-0.181,648.675,-0.281,608.8549999999999,-0.381,536.17,-0.481,499.86499999999995,477.58500000000004,977.1200000000001
20,-0.03,929.3700000000001,-0.08,842.15,-0.18,718.3,-0.18,648.675,-0.28,608.8549999999999,-0.38,536.17,-0.48,499.86499999999995,477.58500000000004,977.1200000000001
21,-0.029,929.3700000000001,-0.079,842.15,-0.179,718.3,-0.179,648.675,-0.279,608.8549999999999,-0.379,536.17,-0.47900000000000004,499.86499999999995,477.58500000000004,977.1200000000001
22,-0.028,929.3700000000001,-0.078,845.195,-0.178,718.3,-0.178,648.6850000000001,-0.278,608.8549999999999,-0.378,536.17,-0.47800000000000004,499.86499999999995,477.58500000000004,977.1200000000001
23,-0.027,929.3700000000001,-0.077,852.8399999999999,-0.177,718.3,-0.177,648.8399999999999,-0.277,608.8549999999999,-0.377,536.17,-0.47700000000000004,499.86499999999995,477.58500000000004,977.1200000000001
24,-0.026000000000000002,929.3700000000001,-0.076,852.8399999999999,-0.176,718.3,-0.176,648.8399999999999,-0.276,608.8549999999999,-0.376,536.17,-0.47600000000000003,499.86499999999995,477.58500000000004,977.1200000000001
25,-0.025,929.3700000000001,-0.075,852.8399999999999,-0.17500000000000002,718.3,-0.17500000000000002,648.8399999999999,-0.275,609.3,-0.375,536.17,-0.47500000000000003,499.86499999999995,477.58500000000004,977.1200000000001
26,-0.024,931.8000000000002,-0.074,852.8399999999999,-0.17400000000000002,718.3,-0.17400000000000002,648.8399999999999,-0.274,609.3,-0.374,536.17,-0.47400000000000003,499.86499999999995,477.58500000000004,977.1200000000001
27,-0.023,932.72,-0.073,855.6700000000001,-0.17300000000000001,718.3,-0.17300000000000001,648.8399999999999,-0.273,609.3,-0.373,536.17,-0.47300000000000003,499.86499999999995,477.58500000000004,977.1200000000001
28,-0.022,932.72,-0.07200000000000001,855.6700000000001,-0.17200000000000001,718.3,-0.17200000000000001,648.8399999999999,-0.272,609.3,-0.372,536.17,-0.47200000000000003,499.86499999999995,477.58500000000004,977.1200000000001
29,-0.021,932.72,-0.07100000000000001,855.6700000000001,-0.171,718.3,-0.171,648.8399999999999,-0.271,622.51,-0.371,536.17,-0.47100000000000003,499.86499999999995,477.58500000000004,977.1200000000001
30,-0.02,932.72,-0.07,855.6700000000001,-0.17,718.3,-0.17,648.8399999999999,-0.27,622.51,-0.37,536.17,-0.47000000000000003,499.86499999999995,477.58500000000004,977.1200000000001
31,-0.019,932.72,-0.069,855.6700000000001,-0.169,718.3,-0.169,648.8399999999999,-0.269,622.51,-0.369,536.17,-0.46900000000000003,499.86499999999995,477.58500000000004,977.1200000000001
32,-0.018000000000000002,932.72,-0.068,855.6700000000001,-0.168,718.3,-0.168,648.8399999999999,-0.268,622.51,-0.368,536.17,-0.468,499.86499999999995,477.58500000000004,977.1200000000001
33,-0.017,932.72,-0.067,856.865,-0.167,718.3,-0.167,648.8399999999999,-0.267,622.51,-0.367,536.17,-0.467,499.86499999999995,477.58500000000004,977.1200000000001
34,-0.016,932.72,-0.066,856.865,-0.166,718.3,-0.166,648.8399999999999,-0.266,622.51,-0.366,536.17,-0.466,499.86499999999995,477.58500000000004,977.1200000000001
