,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,859.8099999999913,859.8099999999913,859.8099999999913,859.8099999999913,477.58500000000004,977.1200000000001
1,1.0,802.6679349999988,746.7174050000049,748.4056600000049,747.1515000000048,477.58500000000004,977.1200000000001
2,2.0,746.5250599999961,689.5684149999986,679.7745300000003,678.5595850000001,477.58500000000004,977.1200000000001
3,3.0,696.00695,626.6460600000033,626.3329500000034,608.8256300000028,477.58500000000004,977.1200000000001
4,4.0,642.2438300000002,572.104280000001,556.6936600000001,556.8542350000001,477.58500000000004,977.1200000000001
5,5.0,596.5276899999996,518.0713499999994,508.40034499999945,508.5771099999994,477.58500000000004,977.1200000000001
6,6.0,555.2741649999991,486.56511499999976,476.1943900000001,466.67448000000024,477.58500000000004,977.1200000000001
7,7.0,524.0880699999994,448.01478500000064,438.2038850000011,431.52696500000104,477.58500000000004,977.1200000000001
8,8.0,493.7444499999997,423.0216200000009,409.2689600000009,409.29072500000086,477.58500000000004,977.1200000000001
9,9.0,470.3594000000001,396.3436350000004,390.00342000000023,385.21674500000006,477.58500000000004,977.1200000000001
10,10.0,448.38454000000013,377.1178399999998,365.94918999999953,359.09954499999947,477.58500000000004,977.1200000000001
11,11.0,422.407185,355.18124999999947,343.7814349999993,338.89245999999946,477.58500000000004,977.1200000000001
12,12.0,409.91044,340.6387199999995,332.1387899999995,328.9480399999995,477.58500000000004,977.1200000000001
13,13.0,392.38969999999995,328.55446999999947,323.3754799999995,321.9525149999994,477.58500000000004,977.1200000000001
14,14.0,378.3072050000002,324.0655799999994,320.5393199999994,320.2999999999994,477.58500000000004,977.1200000000001
15,15.0,371.8690799999999,320.9299349999995,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
16,16.0,365.1683149999999,320.3978899999994,320.2999999999994,320.3156549999993,477.58500000000004,977.1200000000001
17,17.0,357.81917999999996,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
18,18.0,351.85232499999995,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
19,19.0,351.233155,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
20,20.0,348.46415499999995,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
21,21.0,345.5253349999998,320.2999999999994,320.3068649999994,320.2999999999994,477.58500000000004,977.1200000000001
22,22.0,344.71056500000003,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
23,23.0,343.38054499999987,320.2999999999994,320.2999999999994,320.30856499999936,477.58500000000004,977.1200000000001
24,24.0,344.63125499999995,322.8286249999994,323.71393499999954,323.98392999999953,477.58500000000004,977.1200000000001
25,25.0,342.6295999999998,322.0862799999994,323.8141599999994,324.16407999999944,477.58500000000004,977.1200000000001
