,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,477.58500000000004,977.1200000000001
1,1.0,814.6062999999998,1.0,797.3698999999995,1.0,726.5313499999996,1.0,668.1651999999997,1.0,625.1152999999997,477.58500000000004,977.1200000000001
2,2.0,783.7042999999996,2.0,730.1228999999997,2.0,630.3785499999998,2.0,589.6108499999998,2.0,495.2991999999999,477.58500000000004,977.1200000000001
3,3.0,743.3384999999996,3.0,671.3236999999997,3.0,571.7255999999998,3.0,515.9528999999998,3.0,434.3544,477.58500000000004,977.1200000000001
4,,,4.0,657.5061999999997,4.0,532.2207,4.0,474.51564999999994,4.0,406.61805,477.58500000000004,977.1200000000001
5,,,5.0,618.4186499999998,5.0,512.5386499999998,5.0,454.95914999999997,5.0,391.7749,477.58500000000004,977.1200000000001
6,,,,,6.0,487.43359999999984,6.0,438.5893,6.0,378.2178,477.58500000000004,977.1200000000001
7,,,,,7.0,469.88584999999995,7.0,423.05285000000003,7.0,366.55975,477.58500000000004,977.1200000000001
8,,,,,8.0,460.67589999999984,8.0,411.0696,8.0,355.22565000000003,477.58500000000004,977.1200000000001
9,,,,,,,9.0,400.54280000000006,9.0,342.51059999999995,477.58500000000004,977.1200000000001
10,,,,,,,10.0,384.9338,10.0,332.7667500000001,477.58500000000004,977.1200000000001
11,,,,,,,,,11.0,326.7881,477.58500000000004,977.1200000000001
12,,,,,,,,,12.0,321.85885,477.58500000000004,977.1200000000001
13,,,,,,,,,13.0,320.29999999999995,477.58500000000004,977.1200000000001
