,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.50)
0,-3.0969245107176144,217.3,281.8,183.4,183.4,183.4,183.4
1,-3.0959238889047818,217.3,281.8,183.4,183.4,183.4,183.4
2,-3.0949232670919486,217.3,281.8,183.4,183.4,183.4,183.4
3,-3.093922645279116,217.3,281.8,183.4,183.4,183.4,183.4
4,-3.092922023466283,217.3,281.8,183.4,183.4,183.4,183.4
5,-3.09192140165345,217.3,281.8,183.4,183.4,183.4,183.4
6,-3.0909207798406175,217.3,281.8,183.4,183.4,183.4,183.4
7,-3.0899201580277844,217.3,281.8,183.4,183.4,183.4,183.4
8,-3.0889195362149517,217.3,281.8,183.4,183.4,183.4,183.4
9,-3.087918914402119,217.3,281.8,183.4,183.4,183.4,183.4
10,-3.086918292589286,217.3,281.8,183.4,183.4,183.4,183.4
11,-3.0859176707764533,217.3,281.8,183.4,183.4,183.4,183.4
12,-3.0849170489636206,217.3,281.8,183.4,183.4,183.4,183.4
13,-3.0839164271507875,217.3,281.8,183.4,183.4,183.4,183.4
14,-3.082915805337955,217.3,281.8,183.4,183.4,183.4,183.4
15,-3.0819151835251217,217.3,281.8,183.4,183.4,183.4,183.4
16,-3.080914561712289,217.3,281.8,183.4,183.4,183.4,183.4
17,-3.0799139398994564,217.3,281.8,183.4,183.4,183.4,183.4
18,-3.0789133180866233,217.3,281.8,183.4,183.4,183.4,183.4
19,-3.0779126962737906,217.3,281.8,183.4,183.4,183.4,183.4
20,-3.076912074460958,217.3,281.8,183.4,183.4,183.4,183.4
21,-3.075911452648125,217.3,281.8,183.4,183.4,183.4,183.4
22,-3.074910830835292,217.3,281.8,183.4,183.4,183.4,183.4
23,-3.0739102090224595,217.3,281.8,183.4,183.4,183.4,183.4
24,-3.0729095872096264,217.3,281.8,183.4,183.4,183.4,183.4
25,-3.0719089653967937,217.3,281.8,183.4,183.4,183.4,183.4
26,-3.0709083435839606,217.3,281.8,183.4,183.4,183.4,183.4
27,-3.069907721771128,217.3,281.8,183.4,183.4,183.4,183.4
28,-3.0689070999582952,217.3,281.8,183.4,183.4,183.4,183.4
29,-3.067906478145462,217.3,281.8,183.4,183.4,183.4,183.4
30,-3.0669058563326295,217.3,281.8,183.4,183.4,183.4,183.4
31,-3.065905234519797,217.3,281.8,183.4,183.4,183.4,183.4
32,-3.0649046127069637,217.3,281.8,183.4,183.4,183.4,183.4
33,-3.063903990894131,217.3,281.8,183.4,183.4,183.4,183.4
34,-3.062903369081298,217.3,281.8,183.4,183.4,183.4,183.4
35,-3.0619027472684652,217.3,281.8,183.4,183.4,183.4,183.4
36,-3.0609021254556326,217.3,281.8,183.4,183.4,183.4,183.4
37,-3.0599015036427994,217.3,281.8,183.4,183.4,183.4,183.4
38,-3.058900881829967,217.3,281.8,183.4,183.4,183.4,183.4
39,-3.057900260017134,217.3,281.8,183.4,183.4,183.4,183.4
40,-3.056899638204301,217.3,281.8,183.4,183.4,183.4,183.4
41,-3.0558990163914683,217.3,281.8,183.4,183.4,183.4,183.4
42,-3.0548983945786357,217.3,281.8,183.4,183.4,183.4,183.4
43,-3.0538977727658025,217.3,281.8,183.4,183.4,183.4,183.4
44,-3.05289715095297,217.3,281.8,183.4,183.4,183.4,183.4
45,-3.0518965291401368,217.3,281.8,183.4,183.4,183.4,183.4
46,-3.050895907327304,217.3,281.8,183.4,183.4,183.4,183.4
47,-3.0498952855144714,217.3,281.8,183.4,183.4,183.4,183.4
48,-3.0488946637016383,217.3,281.8,183.4,183.4,183.4,183.4
49,-3.0478940418888056,217.3,281.8,183.4,183.4,183.4,183.4
50,-3.046893420075973,217.3,281.8,183.4,183.4,183.4,183.4
51,-3.04589279826314,217.3,281.8,183.4,183.4,183.4,183.4
52,-3.044892176450307,217.3,281.8,183.4,183.4,183.4,183.4
53,-3.0438915546374745,217.3,281.8,183.4,183.4,183.4,183.4
54,-3.0428909328246414,217.3,281.8,183.4,183.4,183.4,183.4
55,-3.0418903110118087,217.3,281.8,183.4,183.4,183.4,183.4
56,-3.0408896891989756,217.3,281.8,183.4,183.4,183.4,183.4
57,-3.039889067386143,217.3,281.8,183.4,183.4,183.4,183.4
58,-3.0388884455733103,217.3,281.8,183.4,183.4,183.4,183.4
59,-3.037887823760477,217.3,281.8,183.4,183.4,183.4,183.4
60,-3.0368872019476445,217.3,281.8,183.4,183.4,183.4,183.4
61,-3.035886580134812,217.3,281.8,183.4,183.4,183.4,183.4
62,-3.0348859583219787,217.3,281.8,183.4,183.4,183.4,183.4
63,-3.033885336509146,217.3,281.8,183.4,183.4,183.4,183.4
64,-3.0328847146963134,217.3,281.8,183.4,183.4,183.4,183.4
65,-3.0318840928834803,217.3,281.8,183.4,183.4,183.4,183.4
66,-3.0308834710706476,217.3,281.8,183.4,183.4,183.4,183.4
67,-3.0298828492578145,217.3,281.8,183.4,183.4,183.4,183.4
68,-3.028882227444982,217.3,281.8,183.4,183.4,183.4,183.4
69,-3.027881605632149,217.3,281.8,183.4,183.4,183.4,183.4
70,-3.026880983819316,217.3,281.8,183.4,183.4,183.4,183.4
71,-3.0258803620064834,217.3,281.8,183.4,183.4,183.4,183.4
72,-3.0248797401936507,217.3,281.8,183.4,183.4,183.4,183.4
73,-3.0238791183808176,217.3,281.8,183.4,183.4,183.4,183.4
74,-3.022878496567985,217.3,281.8,183.4,183.4,183.4,183.4
75,-3.021877874755152,217.3,281.8,183.4,183.4,183.4,183.4
76,-3.020877252942319,217.3,281.8,183.4,183.4,183.4,183.4
77,-3.0198766311294865,217.3,281.8,183.4,183.4,183.4,183.4
78,-3.0188760093166533,217.3,281.8,183.4,183.4,183.4,183.4
79,-3.0178753875038207,217.3,281.8,183.4,183.4,183.4,183.4
80,-3.016874765690988,217.3,281.8,183.4,183.4,183.4,183.4
81,-3.015874143878155,217.3,281.8,183.4,183.4,183.4,183.4
82,-3.014873522065322,217.3,281.8,183.4,183.4,183.4,183.4
83,-3.0138729002524896,217.3,281.8,183.4,183.4,183.4,183.4
84,-3.0128722784396564,217.3,281.8,183.4,183.4,183.4,183.4
85,-3.0118716566268238,217.3,281.8,183.4,183.4,183.4,183.4
86,-3.0108710348139907,217.3,281.8,183.4,183.4,183.4,183.4
87,-3.009870413001158,217.3,281.8,183.4,183.4,183.4,183.4
88,-3.0088697911883253,217.3,281.8,183.4,183.4,183.4,183.4
89,-3.007869169375492,217.3,281.8,183.4,183.4,183.4,183.4
90,-3.0068685475626595,217.3,281.8,183.4,183.4,183.4,183.4
91,-3.005867925749827,217.3,281.8,183.4,183.4,183.4,183.4
92,-3.0048673039369937,217.3,281.8,183.4,183.4,183.4,183.4
93,-3.003866682124161,217.3,281.8,183.4,183.4,183.4,183.4
94,-3.0028660603113284,217.3,281.8,183.4,183.4,183.4,183.4
95,-3.0018654384984953,217.3,281.8,183.4,183.4,183.4,183.4
96,-3.0008648166856626,217.3,281.8,183.4,183.4,183.4,183.4
97,-2.9998641948728295,217.3,281.8,183.4,183.4,183.4,183.4
98,-2.998863573059997,217.3,281.8,183.4,183.4,183.4,183.4
99,-2.997862951247164,217.3,281.8,183.4,183.4,183.4,183.4
100,-2.996862329434331,217.3,281.8,183.4,183.4,183.4,183.4
