,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),best price difference
0,0.0,615.7699999999998,0.0,615.7699999999998,0.0,615.7699999999998,0.0,615.7699999999998,0.0,615.7699999999998,817.7099999999999
1,1.0,591.43235,1.0,559.8615500000001,1.0,502.62685,1.0,485.3633000000001,1.0,434.91270000000014,817.7099999999999
2,2.0,564.4479000000001,2.0,495.76140000000004,2.0,431.73070000000007,2.0,357.42425000000014,2.0,331.6875500000001,817.7099999999999
3,3.0,524.7676,3.0,467.2269500000002,3.0,364.5393000000001,3.0,276.2691000000001,3.0,248.11645000000007,817.7099999999999
4,,,4.0,411.3956000000001,4.0,292.14979999999997,4.0,203.65095000000005,4.0,198.57414999999997,817.7099999999999
5,,,5.0,366.4497000000001,5.0,248.44705000000008,5.0,159.42709999999997,5.0,165.50355000000005,817.7099999999999
6,,,,,6.0,222.82315000000008,6.0,131.29579999999999,6.0,131.23880000000003,817.7099999999999
7,,,,,7.0,187.72910000000002,7.0,107.69824999999996,7.0,128.62170000000006,817.7099999999999
8,,,,,8.0,151.9807,8.0,99.75684999999999,8.0,117.66935000000005,817.7099999999999
9,,,,,,,9.0,99.43519999999995,9.0,111.83019999999999,817.7099999999999
10,,,,,,,10.0,99.22874999999996,10.0,106.63170000000002,817.7099999999999
11,,,,,,,,,11.0,105.44575000000002,817.7099999999999
12,,,,,,,,,12.0,104.29194999999997,817.7099999999999
13,,,,,,,,,13.0,104.50735,817.7099999999999
