,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,477.58500000000004,977.1200000000001
1,1.0,811.4209999999997,1.0,793.8234499999995,1.0,719.3651499999999,1.0,678.4879999999997,1.0,591.1908999999998,477.58500000000004,977.1200000000001
2,2.0,773.1394499999997,2.0,726.8538499999997,2.0,649.5466999999999,2.0,574.2863999999998,2.0,475.1602999999999,477.58500000000004,977.1200000000001
3,3.0,748.6439999999996,3.0,685.7373499999997,3.0,584.60915,3.0,502.7104499999999,3.0,426.1405,477.58500000000004,977.1200000000001
4,,,4.0,634.0092499999997,4.0,537.57365,4.0,478.81089999999995,4.0,411.69365,477.58500000000004,977.1200000000001
5,,,5.0,627.3747999999998,5.0,508.1047,5.0,452.75,5.0,392.88945,477.58500000000004,977.1200000000001
6,,,,,6.0,491.3967999999998,6.0,432.3943000000001,6.0,378.92525,477.58500000000004,977.1200000000001
7,,,,,7.0,475.5950999999999,7.0,419.67069999999995,7.0,365.23339999999996,477.58500000000004,977.1200000000001
8,,,,,8.0,460.5271999999999,8.0,411.56215000000003,8.0,355.3737,477.58500000000004,977.1200000000001
9,,,,,,,9.0,396.29910000000007,9.0,343.74920000000003,477.58500000000004,977.1200000000001
10,,,,,,,10.0,384.58205000000004,10.0,333.4617,477.58500000000004,977.1200000000001
11,,,,,,,,,11.0,327.05355000000003,477.58500000000004,977.1200000000001
12,,,,,,,,,12.0,322.75199999999995,477.58500000000004,977.1200000000001
13,,,,,,,,,13.0,320.29999999999995,477.58500000000004,977.1200000000001
