,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,859.4400000000011,859.4400000000011,859.4400000000011,859.4400000000011,505.945,977.1200000000001
1,1.0,806.9945400000001,750.8527699999981,747.8965699999983,751.4705999999981,505.945,977.1200000000001
2,2.0,742.2188500000011,685.4141100000006,670.8524200000015,671.9750400000014,505.945,977.1200000000001
3,3.0,690.0284900000015,617.1979200000004,615.9728100000003,597.9436799999997,505.945,977.1200000000001
4,4.0,637.573780000001,566.82145,553.3770900000005,554.2489900000003,505.945,977.1200000000001
5,5.0,591.1836900000005,513.52191,503.9593200000004,503.8195100000004,505.945,977.1200000000001
6,6.0,551.6095500000005,480.25347000000045,469.1576100000004,461.9740100000005,505.945,977.1200000000001
7,7.0,520.6545100000006,443.26956000000047,435.3870500000004,430.2864800000003,505.945,977.1200000000001
8,8.0,495.7878100000006,419.0138600000002,406.7894400000001,406.62952000000007,505.945,977.1200000000001
9,9.0,458.56950000000035,391.8072599999999,385.58939999999996,382.3408999999998,505.945,977.1200000000001
10,10.0,438.16936000000004,373.53474999999986,363.16039,357.5230400000001,505.945,977.1200000000001
11,11.0,420.29331999999994,351.34211000000005,342.66941000000014,338.9743700000001,505.945,977.1200000000001
12,12.0,400.10285999999996,338.63597999999996,331.88785000000007,328.9565400000002,505.945,977.1200000000001
13,13.0,388.48330999999985,327.68699000000004,323.84311999999994,323.11955999999986,505.945,977.1200000000001
14,14.0,373.46100999999965,323.7196499999999,321.0952699999998,320.7992599999998,505.945,977.1200000000001
15,15.0,367.7896799999996,321.0973499999999,320.4804199999998,320.3927799999998,505.945,977.1200000000001
16,16.0,363.0174599999998,320.45151999999985,320.3738199999998,320.34529999999984,505.945,977.1200000000001
17,17.0,358.2901799999998,320.34153999999984,320.3059299999998,320.3118599999998,505.945,977.1200000000001
18,18.0,351.0698799999997,320.3058599999998,320.29999999999984,320.29999999999984,505.945,977.1200000000001
19,19.0,353.21790999999956,320.29999999999984,320.29999999999984,320.29999999999984,505.945,977.1200000000001
20,20.0,347.5497199999995,320.29999999999984,320.29999999999984,320.29999999999984,505.945,977.1200000000001
21,21.0,350.92285999999956,320.29999999999984,320.29999999999984,320.29999999999984,505.945,977.1200000000001
22,22.0,339.50216999999964,320.29999999999984,320.29999999999984,320.29999999999984,505.945,977.1200000000001
23,23.0,344.3230499999995,320.29999999999984,320.29999999999984,320.29999999999984,505.945,977.1200000000001
24,24.0,349.4900899999996,322.3934499999998,322.1694699999998,323.9808599999998,505.945,977.1200000000001
25,25.0,345.7680299999995,321.2654099999998,321.78391999999974,322.6454099999998,505.945,977.1200000000001
