,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,859.4399999999994,0.0,859.4399999999994,0.0,859.4399999999994,0.0,859.4399999999994,0.0,859.4399999999994,505.945,977.1200000000001
1,1.0,814.5765999999994,1.0,769.4263999999996,1.0,707.7539999999998,1.0,654.6128499999998,1.0,575.6774499999995,505.945,977.1200000000001
2,2.0,782.3429499999995,2.0,730.7560499999997,2.0,609.2167999999999,2.0,544.0146499999998,2.0,465.2429999999998,505.945,977.1200000000001
3,3.0,750.2114999999994,3.0,661.91715,3.0,551.6003499999999,3.0,482.4293499999998,3.0,409.683,505.945,977.1200000000001
4,,,4.0,639.4027999999997,4.0,513.8210999999999,4.0,450.84694999999994,4.0,385.27940000000007,505.945,977.1200000000001
5,,,5.0,615.3802999999999,5.0,486.82599999999985,5.0,438.34124999999983,5.0,376.95099999999996,505.945,977.1200000000001
6,,,,,6.0,476.28159999999997,6.0,429.5768499999998,6.0,367.40835000000004,505.945,977.1200000000001
7,,,,,7.0,461.58835,7.0,413.67625,7.0,359.1935500000001,505.945,977.1200000000001
8,,,,,8.0,450.9400999999999,8.0,406.2469500000001,8.0,348.9513999999999,505.945,977.1200000000001
9,,,,,,,9.0,397.81579999999997,9.0,340.06345,505.945,977.1200000000001
10,,,,,,,10.0,385.3814,10.0,332.77560000000005,505.945,977.1200000000001
11,,,,,,,,,11.0,328.36794999999995,505.945,977.1200000000001
12,,,,,,,,,12.0,326.23775000000006,505.945,977.1200000000001
13,,,,,,,,,13.0,322.84205000000003,505.945,977.1200000000001
