,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,474.6949999999999,0.0,474.6949999999999,0.0,474.6949999999999,0.0,474.6949999999999,0.0,474.6949999999999,349.36499999999995,496.62999999999994
1,1.0,464.6616999999998,1.0,460.76909999999987,1.0,451.39649999999983,1.0,440.09494999999987,1.0,418.9352499999998,349.36499999999995,496.62999999999994
2,2.0,455.41184999999984,2.0,451.3065499999998,2.0,432.49974999999984,2.0,414.1523999999998,2.0,394.9911999999999,349.36499999999995,496.62999999999994
3,,,3.0,441.43404999999996,3.0,417.5847999999999,3.0,406.1935499999998,3.0,385.56959999999987,349.36499999999995,496.62999999999994
4,,,4.0,435.51439999999985,4.0,410.60784999999976,4.0,398.8553999999998,4.0,379.4062999999998,349.36499999999995,496.62999999999994
5,,,,,5.0,406.1452499999999,5.0,393.3181999999999,5.0,375.4013499999998,349.36499999999995,496.62999999999994
6,,,,,6.0,401.7763499999999,6.0,388.4851499999998,6.0,372.86919999999986,349.36499999999995,496.62999999999994
7,,,,,7.0,398.6543999999998,7.0,385.78444999999977,7.0,369.70814999999993,349.36499999999995,496.62999999999994
8,,,,,,,8.0,382.0131499999999,8.0,366.35425,349.36499999999995,496.62999999999994
9,,,,,,,9.0,377.24834999999985,9.0,363.1169500000001,349.36499999999995,496.62999999999994
10,,,,,,,,,10.0,358.22645,349.36499999999995,496.62999999999994
11,,,,,,,,,11.0,355.0733,349.36499999999995,496.62999999999994
12,,,,,,,,,12.0,349.4286500000001,349.36499999999995,496.62999999999994
