,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.25),payoff(r=1.50)
0,-0.5,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1872490000000002
1,-0.499,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
2,-0.498,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
3,-0.497,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
4,-0.496,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
5,-0.495,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
6,-0.494,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
7,-0.493,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
8,-0.492,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
9,-0.491,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
10,-0.49,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
11,-0.489,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
12,-0.488,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
13,-0.487,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
14,-0.486,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
15,-0.485,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
16,-0.484,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
17,-0.483,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
18,-0.482,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
19,-0.481,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
20,-0.48,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
21,-0.479,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
22,-0.478,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
23,-0.477,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
24,-0.476,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
25,-0.475,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
26,-0.474,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
27,-0.473,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
28,-0.472,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
29,-0.471,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
30,-0.47,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
31,-0.469,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
32,-0.468,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
33,-0.467,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
34,-0.466,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
35,-0.465,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
36,-0.464,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
37,-0.463,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
38,-0.462,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
39,-0.461,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
40,-0.46,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
41,-0.459,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
42,-0.458,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
43,-0.457,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
44,-0.456,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
45,-0.455,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
46,-0.454,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
47,-0.453,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
48,-0.452,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
49,-0.451,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
50,-0.45,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
51,-0.449,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
52,-0.448,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
53,-0.447,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
54,-0.446,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
55,-0.445,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
56,-0.444,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
57,-0.443,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
58,-0.442,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
59,-0.441,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
60,-0.44,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
61,-0.439,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
62,-0.438,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
63,-0.437,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
64,-0.436,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
65,-0.435,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
66,-0.434,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
67,-0.433,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
68,-0.432,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
69,-0.431,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
70,-0.43,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
71,-0.429,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
72,-0.428,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
73,-0.427,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
74,-0.426,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
75,-0.425,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
76,-0.424,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
77,-0.423,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
78,-0.422,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
79,-0.421,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
80,-0.42,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
81,-0.419,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
82,-0.418,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
83,-0.417,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
84,-0.416,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
85,-0.415,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
86,-0.414,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
87,-0.413,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
88,-0.412,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
89,-0.411,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
90,-0.41,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
91,-0.409,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
92,-0.408,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
93,-0.407,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
94,-0.406,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
95,-0.405,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
96,-0.404,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
97,-0.403,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
98,-0.402,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
99,-0.401,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
100,-0.4,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
101,-0.399,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
102,-0.398,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
103,-0.397,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
104,-0.396,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
105,-0.395,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
106,-0.394,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
107,-0.393,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
108,-0.392,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
109,-0.391,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
110,-0.39,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
111,-0.389,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
112,-0.388,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.144737,1.1466195000000001
113,-0.387,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1447844999999999,1.1466195000000001
114,-0.386,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1450844999999998,1.1466195000000001
115,-0.385,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1450844999999998,1.1466195000000001
116,-0.384,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1450844999999998,1.1466195000000001
117,-0.383,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1450844999999998,1.1466195000000001
118,-0.382,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1455579999999999,1.1466195000000001
119,-0.381,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1455579999999999,1.1466195000000001
120,-0.38,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1455579999999999,1.1466195000000001
121,-0.379,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1455579999999999,1.1466195000000001
122,-0.378,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.145807,1.1466195000000001
123,-0.377,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.145807,1.1466195000000001
124,-0.376,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.145807,1.1466195000000001
125,-0.375,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.145807,1.1466195000000001
126,-0.374,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.145807,1.1466195000000001
127,-0.373,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.145807,1.1466195000000001
128,-0.372,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1463094999999999,1.1466195000000001
129,-0.371,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1463094999999999,1.1466195000000001
130,-0.37,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.146455,1.1466195000000001
131,-0.369,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.146455,1.1466195000000001
132,-0.368,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.146455,1.1466195000000001
133,-0.367,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.146892,1.1466195000000001
134,-0.366,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.146892,1.1466195000000001
135,-0.365,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.147146,1.1466195000000001
136,-0.364,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.147146,1.1466195000000001
137,-0.363,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.147146,1.1466195000000001
138,-0.362,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.147146,1.1466195000000001
139,-0.361,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.147146,1.1466195000000001
140,-0.36,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1473025,1.1466195000000001
141,-0.359,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1474685,1.1466195000000001
142,-0.358,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1474685,1.1466195000000001
143,-0.357,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1476124999999997,1.1466195000000001
144,-0.356,1.1591814999999996,1.1872490000000002,1.144737,1.144737,1.144737,1.1478284999999997,1.1466195000000001
