,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,1.1591814999999996,1.1872490000000002
1,1.0,1.1806442250000002,1.0,1.179112715,1.0,1.175353625,1.0,1.1720607,1.0,1.1658481950000001,1.1591814999999996,1.1872490000000002
2,2.0,1.1780423350000007,2.0,1.1752752499999999,2.0,1.169065505,2.0,1.1641989099999999,2.0,1.15737124,1.1591814999999996,1.1872490000000002
3,3.0,1.1757549000000003,3.0,1.1722310300000003,3.0,1.165219635,3.0,1.160045475,3.0,1.1535708249999999,1.1591814999999996,1.1872490000000002
4,,,4.0,1.1690958200000006,4.0,1.16265996,4.0,1.1577898949999998,4.0,1.1518870649999997,1.1591814999999996,1.1872490000000002
5,,,5.0,1.1678241700000003,5.0,1.1604125899999997,5.0,1.156110405,5.0,1.150270985,1.1591814999999996,1.1872490000000002
6,,,,,6.0,1.1588967449999994,6.0,1.1546634749999998,6.0,1.1493299099999998,1.1591814999999996,1.1872490000000002
7,,,,,7.0,1.15771179,7.0,1.1533000699999998,7.0,1.1486557699999997,1.1591814999999996,1.1872490000000002
8,,,,,8.0,1.1564676199999997,8.0,1.152353295,8.0,1.1480072899999998,1.1591814999999996,1.1872490000000002
9,,,,,,,9.0,1.1511991149999998,9.0,1.1471287149999998,1.1591814999999996,1.1872490000000002
10,,,,,,,10.0,1.1502134649999995,10.0,1.1463157,1.1591814999999996,1.1872490000000002
11,,,,,,,,,11.0,1.1457266549999998,1.1591814999999996,1.1872490000000002
12,,,,,,,,,12.0,1.1451107600000001,1.1591814999999996,1.1872490000000002
13,,,,,,,,,13.0,1.144737,1.1591814999999996,1.1872490000000002
