,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,1.1591814999999996,1.1872490000000002
1,1.0,1.1804778050000004,1.0,1.1791596200000003,1.0,1.1752790199999998,1.0,1.1721304,1.0,1.166059845,1.1591814999999996,1.1872490000000002
2,2.0,1.1785844700000006,2.0,1.1752419500000002,2.0,1.1690553550000002,2.0,1.1648144449999998,2.0,1.1573231599999998,1.1591814999999996,1.1872490000000002
3,3.0,1.1758360750000005,3.0,1.1721921500000003,3.0,1.1650244950000004,3.0,1.159710235,3.0,1.15349368,1.1591814999999996,1.1872490000000002
4,,,4.0,1.1696731950000003,4.0,1.1620410099999998,4.0,1.157601985,4.0,1.151694935,1.1591814999999996,1.1872490000000002
5,,,5.0,1.1678958750000006,5.0,1.1606066350000002,5.0,1.1555109399999997,5.0,1.150529395,1.1591814999999996,1.1872490000000002
6,,,,,6.0,1.1590323299999998,6.0,1.1542939349999994,6.0,1.1493191149999995,1.1591814999999996,1.1872490000000002
7,,,,,7.0,1.157706175,7.0,1.1535505399999997,7.0,1.1486452849999997,1.1591814999999996,1.1872490000000002
8,,,,,8.0,1.15655055,8.0,1.152300485,8.0,1.14784958,1.1591814999999996,1.1872490000000002
9,,,,,,,9.0,1.1514737649999998,9.0,1.14718441,1.1591814999999996,1.1872490000000002
10,,,,,,,10.0,1.150319975,10.0,1.1462169549999999,1.1591814999999996,1.1872490000000002
11,,,,,,,,,11.0,1.1455666800000002,1.1591814999999996,1.1872490000000002
12,,,,,,,,,12.0,1.1450556549999997,1.1591814999999996,1.1872490000000002
13,,,,,,,,,13.0,1.144737,1.1591814999999996,1.1872490000000002
