,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
0,-0.05,1.1610915,-0.1,1.1610915,-0.2,1.1610915,-0.2,1.1610915,-0.3,1.1610915,-0.4,1.1610915,-0.5,1.1610915,1.1610915,1.1872490000000002
1,-0.04,1.1610915,-0.09,1.1610915,-0.19,1.1610915,-0.19,1.1610915,-0.29,1.1610915,-0.39,1.1610915,-0.49,1.1610915,1.1610915,1.1872490000000002
2,-0.03,1.1610915,-0.08,1.1610915,-0.18,1.1610915,-0.18,1.1610915,-0.28,1.1610915,-0.38,1.1610915,-0.48,1.1610915,1.1610915,1.1872490000000002
3,-0.02,1.1610915,-0.07,1.1610915,-0.17,1.1610915,-0.17,1.1610915,-0.27,1.1610915,-0.37,1.1610915,-0.47000000000000003,1.1610915,1.1610915,1.1872490000000002
4,-0.01,1.1610915,-0.06,1.1610915,-0.16,1.1610915,-0.16,1.1610915,-0.26,1.1610915,-0.36,1.1610915,-0.46,1.1610915,1.1610915,1.1872490000000002
5,-0.0,1.1610915,-0.05,1.1610915,-0.15,1.1610915,-0.15,1.1610915,-0.25,1.1610915,-0.35000000000000003,1.1610915,-0.45,1.1610915,1.1610915,1.1872490000000002
6,0.0,1.1610915,-0.04,1.1610915,-0.14,1.1610915,-0.14,1.1610915,-0.24,1.1610915,-0.34,1.1610915,-0.44,1.1610915,1.1610915,1.1872490000000002
7,0.01,1.1610915,-0.03,1.1610915,-0.13,1.1610915,-0.13,1.1610915,-0.23,1.1610915,-0.33,1.1610915,-0.43,1.1610915,1.1610915,1.1872490000000002
8,0.02,1.1610915,-0.02,1.1610915,-0.12,1.1610915,-0.12,1.1610915,-0.22,1.1610915,-0.32,1.1610915,-0.42,1.1610915,1.1610915,1.1872490000000002
9,0.03,1.1610915,-0.01,1.1610915,-0.11,1.1610915,-0.11,1.1610915,-0.21,1.1610915,-0.31,1.1610915,-0.41000000000000003,1.1610915,1.1610915,1.1872490000000002
10,0.04,1.1610915,-0.0,1.1610915,-0.1,1.1610915,-0.1,1.1610915,-0.2,1.1610915,-0.3,1.1610915,-0.4,1.1610915,1.1610915,1.1872490000000002
11,0.05,1.1610915,0.0,1.1610915,-0.09,1.1610915,-0.09,1.1610915,-0.19,1.1610915,-0.29,1.1610915,-0.39,1.1610915,1.1610915,1.1872490000000002
12,,,0.01,1.1610915,-0.08,1.1610915,-0.08,1.1610915,-0.18,1.1610915,-0.28,1.1610915,-0.38,1.1610915,1.1610915,1.1872490000000002
13,,,0.02,1.1610915,-0.07,1.1610915,-0.07,1.1610915,-0.17,1.1610915,-0.27,1.1610915,-0.37,1.1610915,1.1610915,1.1872490000000002
14,,,0.03,1.1610915,-0.06,1.1610915,-0.06,1.1610915,-0.16,1.1610915,-0.26,1.1610915,-0.36,1.1610915,1.1610915,1.1872490000000002
15,,,0.04,1.1610915,-0.05,1.1610915,-0.05,1.1610915,-0.15,1.1610915,-0.25,1.1610915,-0.35000000000000003,1.1610915,1.1610915,1.1872490000000002
16,,,0.05,1.1610915,-0.04,1.1610915,-0.04,1.1610915,-0.14,1.1610915,-0.24,1.1610915,-0.34,1.1610915,1.1610915,1.1872490000000002
17,,,0.06,1.1610915,-0.03,1.1610915,-0.03,1.1610915,-0.13,1.1610915,-0.23,1.1610915,-0.33,1.1610915,1.1610915,1.1872490000000002
