,eta,count(r=0.96),count(r=0.98),count(r=1.00),count(r=1.02),count(r=1.04)
0,-0.04,18.0,6.0,6.0,6.0,6.0
1,-0.03991983967935872,18.0,6.0,6.0,6.0,6.0
2,-0.03983967935871744,18.0,6.0,6.0,6.0,6.0
3,-0.03975951903807615,18.0,6.0,6.0,6.0,6.0
4,-0.03967935871743487,18.0,6.0,6.0,6.0,6.0
5,-0.03959919839679359,18.0,6.0,6.0,6.0,6.0
6,-0.039519038076152306,18.0,6.0,6.0,6.0,6.0
7,-0.039438877755511026,18.0,6.0,6.0,6.0,6.0
8,-0.039358717434869746,18.0,6.0,6.0,6.0,6.0
9,-0.03927855711422846,18.0,6.0,6.0,6.0,6.0
10,-0.03919839679358718,18.0,6.0,6.0,6.0,6.0
11,-0.0391182364729459,18.0,6.0,6.0,6.0,6.0
12,-0.03903807615230461,18.0,6.0,6.0,6.0,6.0
13,-0.03895791583166333,18.0,6.0,6.0,6.0,6.0
14,-0.03887775551102205,18.0,6.0,6.0,6.0,6.0
15,-0.038797595190380764,18.0,6.0,6.0,6.0,6.0
16,-0.038717434869739484,18.0,6.0,6.0,6.0,6.0
17,-0.038637274549098204,18.0,6.0,6.0,6.0,6.0
18,-0.03855711422845692,18.0,6.0,6.0,6.0,6.0
19,-0.038476953907815636,18.0,6.0,6.0,6.0,6.0
20,-0.03839679358717435,18.0,6.0,6.0,6.0,6.0
21,-0.03831663326653307,18.0,6.0,6.0,6.0,6.0
22,-0.03823647294589179,18.0,6.0,6.0,6.0,6.0
23,-0.0381563126252505,18.0,6.0,6.0,6.0,6.0
24,-0.03807615230460922,18.0,6.0,6.0,6.0,6.0
25,-0.03799599198396794,18.0,6.0,6.0,6.0,6.0
26,-0.037915831663326655,18.0,6.0,6.0,6.0,6.0
27,-0.037835671342685374,18.0,6.0,6.0,6.0,6.0
28,-0.037755511022044094,18.0,6.0,6.0,6.0,6.0
29,-0.03767535070140281,18.0,6.0,6.0,6.0,6.0
30,-0.03759519038076153,18.0,6.0,6.0,6.0,6.0
31,-0.03751503006012025,18.0,6.0,6.0,6.0,6.0
32,-0.03743486973947896,18.0,6.0,6.0,6.0,6.0
33,-0.03735470941883768,18.0,6.0,6.0,6.0,6.0
34,-0.0372745490981964,18.0,6.0,6.0,6.0,6.0
35,-0.03719438877755511,18.0,6.0,6.0,6.0,6.0
36,-0.03711422845691383,18.0,6.0,6.0,6.0,6.0
37,-0.03703406813627255,18.0,6.0,6.0,6.0,6.0
38,-0.036953907815631265,18.0,6.0,6.0,6.0,6.0
39,-0.036873747494989985,18.0,6.0,6.0,6.0,6.0
40,-0.0367935871743487,18.0,6.0,6.0,6.0,6.0
41,-0.03671342685370742,18.0,6.0,6.0,6.0,6.0
42,-0.03663326653306614,18.0,6.0,6.0,6.0,6.0
43,-0.03655310621242485,18.0,6.0,6.0,6.0,6.0
44,-0.03647294589178357,18.0,6.0,6.0,6.0,6.0
45,-0.03639278557114229,18.0,6.0,6.0,6.0,6.0
46,-0.036312625250501,18.0,6.0,6.0,6.0,6.0
47,-0.03623246492985972,18.0,6.0,6.0,6.0,6.0
48,-0.03615230460921844,18.0,6.0,6.0,6.0,6.0
49,-0.036072144288577156,18.0,6.0,6.0,6.0,6.0
50,-0.035991983967935876,18.0,6.0,6.0,6.0,6.0
51,-0.035911823647294595,18.0,6.0,6.0,6.0,6.0
52,-0.03583166332665331,18.0,6.0,6.0,6.0,6.0
53,-0.03575150300601203,18.0,6.0,6.0,6.0,6.0
54,-0.03567134268537075,18.0,6.0,6.0,6.0,6.0
55,-0.03559118236472946,18.0,6.0,6.0,6.0,6.0
56,-0.03551102204408818,18.0,6.0,6.0,6.0,6.0
57,-0.0354308617234469,18.0,6.0,6.0,6.0,6.0
