,H,"payoff(eta = (0.00H, H))","payoff(eta = (0.50H, H))","payoff(eta = (0.67H, H))","payoff(eta = (0.75H, H))",pure online,best price
0,0.0,1.1839424999999992,1.1839424999999992,1.1839424999999992,1.1839424999999992,1.1591814999999996,1.1872490000000002
1,1.0,1.1803466310000004,1.1764960055000013,1.1764525675000015,1.1765096265000012,1.1591814999999996,1.1872490000000002
2,2.0,1.1768639030000019,1.1732454075000036,1.1724259025000041,1.1724177565000038,1.1591814999999996,1.1872490000000002
3,3.0,1.1732568280000006,1.1687839270000002,1.1688016325000001,1.1675680559999984,1.1591814999999996,1.1872490000000002
4,4.0,1.1698760184999994,1.1655016824999989,1.1645423759999989,1.1645422149999993,1.1591814999999996,1.1872490000000002
5,5.0,1.1667908999999996,1.1615489174999998,1.160763567,1.160746015,1.1591814999999996,1.1872490000000002
6,6.0,1.1639672815000008,1.1589903430000015,1.1582206580000018,1.1574237095000026,1.1591814999999996,1.1872490000000002
7,7.0,1.161246243500001,1.155590270000002,1.1548376480000013,1.1539962410000013,1.1591814999999996,1.1872490000000002
8,8.0,1.1587975235000012,1.153349527000001,1.1520572885000009,1.152026903000001,1.1591814999999996,1.1872490000000002
9,9.0,1.1566356550000012,1.150905233500001,1.1502928425000007,1.1498740185000014,1.1591814999999996,1.1872490000000002
10,10.0,1.1547980690000013,1.1493852465000012,1.148519969500001,1.148077253000001,1.1591814999999996,1.1872490000000002
11,11.0,1.153057700000001,1.1478972440000006,1.1472527460000008,1.1469234250000002,1.1591814999999996,1.1872490000000002
12,12.0,1.151427714500001,1.1468581530000006,1.1463085385000007,1.1460466720000007,1.1591814999999996,1.1872490000000002
13,13.0,1.150599644000001,1.1457999340000011,1.1453172750000014,1.1450641855000014,1.1591814999999996,1.1872490000000002
14,14.0,1.1495134970000014,1.1453501905000012,1.144846869500002,1.1447370000000021,1.1591814999999996,1.1872490000000002
15,15.0,1.1487518850000016,1.1448713320000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
16,16.0,1.1482048510000011,1.1447943670000023,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
17,17.0,1.1476484255000012,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
18,18.0,1.147285814000002,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
19,19.0,1.1470557725000017,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
20,20.0,1.1467618270000015,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
21,21.0,1.1468502880000018,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
22,22.0,1.146449553500002,1.144737347500002,1.144737798500002,1.144737347500002,1.1591814999999996,1.1872490000000002
23,23.0,1.1462958470000022,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
24,24.0,1.1464852535000019,1.144869934500002,1.144951853500002,1.145007025000002,1.1591814999999996,1.1872490000000002
25,25.0,1.1463971295000022,1.144896228500002,1.144919109000002,1.144966750000002,1.1591814999999996,1.1872490000000002
