,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,0.0,1.1839425000000003,1.1591814999999996,1.1872490000000002
1,1.0,1.1811861600000004,1.0,1.1786605850000003,1.0,1.1749201100000006,1.0,1.1717400949999999,1.0,1.1661044500000002,1.1591814999999996,1.1872490000000002
2,2.0,1.1782407800000005,2.0,1.17529423,2.0,1.1687083,2.0,1.1642414099999998,2.0,1.1574435599999997,1.1591814999999996,1.1872490000000002
3,3.0,1.1760750850000004,3.0,1.171905605,3.0,1.165180925,3.0,1.1602551049999996,3.0,1.1531340549999998,1.1591814999999996,1.1872490000000002
4,,,4.0,1.1693858800000005,4.0,1.162437315,4.0,1.1576126049999997,4.0,1.151621465,1.1591814999999996,1.1872490000000002
5,,,5.0,1.1675246250000004,5.0,1.1601661349999999,5.0,1.1556178299999997,5.0,1.15039238,1.1591814999999996,1.1872490000000002
6,,,,,6.0,1.1591361,6.0,1.1545275299999995,6.0,1.1494088049999998,1.1591814999999996,1.1872490000000002
7,,,,,7.0,1.1580051799999995,7.0,1.1535281299999998,7.0,1.1486222700000002,1.1591814999999996,1.1872490000000002
8,,,,,8.0,1.156679455,8.0,1.1523104149999994,8.0,1.1478866049999998,1.1591814999999996,1.1872490000000002
9,,,,,,,9.0,1.1512655099999998,9.0,1.1472254900000003,1.1591814999999996,1.1872490000000002
10,,,,,,,10.0,1.1502246349999996,10.0,1.1462234399999998,1.1591814999999996,1.1872490000000002
11,,,,,,,,,11.0,1.1456422499999999,1.1591814999999996,1.1872490000000002
12,,,,,,,,,12.0,1.145053415,1.1591814999999996,1.1872490000000002
13,,,,,,,,,13.0,1.144737,1.1591814999999996,1.1872490000000002
