,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,1.1846135000000007,0.0,1.1846135000000007,0.0,1.1846135000000007,0.0,1.1846135000000007,0.0,1.1846135000000007,1.1610915,1.1872490000000002
1,1.0,1.1814651850000006,1.0,1.1788351950000004,1.0,1.1749655899999998,1.0,1.1712697550000002,1.0,1.1649384900000002,1.1610915,1.1872490000000002
2,2.0,1.1789931000000005,2.0,1.1748213350000003,2.0,1.16820287,2.0,1.1629995699999998,2.0,1.1566077749999997,1.1610915,1.1872490000000002
3,3.0,1.1771682750000003,3.0,1.1718323750000001,3.0,1.1646093399999997,3.0,1.1586363499999996,3.0,1.15275848,1.1610915,1.1872490000000002
4,,,4.0,1.1697674100000002,4.0,1.1616924499999999,4.0,1.15651634,4.0,1.1508862899999999,1.1610915,1.1872490000000002
5,,,5.0,1.16820753,5.0,1.1593393049999994,5.0,1.1551590599999995,5.0,1.1495333349999999,1.1610915,1.1872490000000002
6,,,,,6.0,1.1582499249999996,6.0,1.15370983,6.0,1.1485995699999998,1.1610915,1.1872490000000002
7,,,,,7.0,1.1572423349999998,7.0,1.1528128949999998,7.0,1.1478524149999998,1.1610915,1.1872490000000002
8,,,,,8.0,1.15642217,8.0,1.1518064799999999,8.0,1.1474229999999999,1.1610915,1.1872490000000002
9,,,,,,,9.0,1.1509366849999998,9.0,1.146670325,1.1610915,1.1872490000000002
10,,,,,,,10.0,1.1500511649999998,10.0,1.14636556,1.1610915,1.1872490000000002
11,,,,,,,,,11.0,1.1455251050000002,1.1610915,1.1872490000000002
12,,,,,,,,,12.0,1.14529842,1.1610915,1.1872490000000002
13,,,,,,,,,13.0,1.1448617099999998,1.1610915,1.1872490000000002
