,eta,count(r=0.96),count(r=0.98),count(r=1.00),count(r=1.02),count(r=1.04)
0,-0.04,20.0,8.0,8.0,8.0,8.0
1,-0.03991983967935872,20.0,8.0,8.0,8.0,8.0
2,-0.03983967935871744,20.0,8.0,8.0,8.0,8.0
3,-0.03975951903807615,20.0,8.0,8.0,8.0,8.0
4,-0.03967935871743487,20.0,8.0,8.0,8.0,8.0
5,-0.03959919839679359,20.0,8.0,8.0,8.0,8.0
6,-0.039519038076152306,20.0,8.0,8.0,8.0,8.0
7,-0.039438877755511026,20.0,8.0,8.0,8.0,8.0
8,-0.039358717434869746,20.0,8.0,8.0,8.0,8.0
9,-0.03927855711422846,20.0,8.0,8.0,8.0,8.0
10,-0.03919839679358718,20.0,8.0,8.0,8.0,8.0
11,-0.0391182364729459,20.0,8.0,8.0,8.0,8.0
12,-0.03903807615230461,20.0,8.0,8.0,8.0,8.0
13,-0.03895791583166333,20.0,8.0,8.0,8.0,8.0
14,-0.03887775551102205,20.0,8.0,8.0,8.0,8.0
15,-0.038797595190380764,20.0,8.0,8.0,8.0,8.0
16,-0.038717434869739484,20.0,8.0,8.0,8.0,8.0
17,-0.038637274549098204,20.0,8.0,8.0,8.0,8.0
18,-0.03855711422845692,20.0,8.0,8.0,8.0,8.0
19,-0.038476953907815636,20.0,8.0,8.0,8.0,8.0
20,-0.03839679358717435,20.0,8.0,8.0,8.0,8.0
21,-0.03831663326653307,20.0,8.0,8.0,8.0,8.0
22,-0.03823647294589179,20.0,8.0,8.0,8.0,8.0
23,-0.0381563126252505,20.0,8.0,8.0,8.0,8.0
24,-0.03807615230460922,20.0,8.0,8.0,8.0,8.0
25,-0.03799599198396794,20.0,8.0,8.0,8.0,8.0
26,-0.037915831663326655,20.0,8.0,8.0,8.0,8.0
27,-0.037835671342685374,20.0,8.0,8.0,8.0,8.0
28,-0.037755511022044094,20.0,8.0,8.0,8.0,8.0
29,-0.03767535070140281,20.0,8.0,8.0,8.0,8.0
30,-0.03759519038076153,20.0,8.0,8.0,8.0,8.0
31,-0.03751503006012025,20.0,8.0,8.0,8.0,8.0
32,-0.03743486973947896,20.0,8.0,8.0,8.0,8.0
33,-0.03735470941883768,20.0,8.0,8.0,8.0,8.0
34,-0.0372745490981964,20.0,8.0,8.0,8.0,8.0
35,-0.03719438877755511,20.0,8.0,8.0,8.0,8.0
36,-0.03711422845691383,20.0,8.0,8.0,8.0,8.0
37,-0.03703406813627255,20.0,8.0,8.0,8.0,8.0
38,-0.036953907815631265,20.0,8.0,8.0,8.0,8.0
39,-0.036873747494989985,20.0,8.0,8.0,8.0,8.0
40,-0.0367935871743487,20.0,8.0,8.0,8.0,8.0
41,-0.03671342685370742,20.0,8.0,8.0,8.0,8.0
42,-0.03663326653306614,20.0,8.0,8.0,8.0,8.0
43,-0.03655310621242485,20.0,8.0,8.0,8.0,8.0
44,-0.03647294589178357,20.0,8.0,8.0,8.0,8.0
45,-0.03639278557114229,20.0,8.0,8.0,8.0,8.0
46,-0.036312625250501,20.0,8.0,8.0,8.0,8.0
47,-0.03623246492985972,20.0,8.0,8.0,8.0,8.0
48,-0.03615230460921844,20.0,8.0,8.0,8.0,8.0
49,-0.036072144288577156,20.0,8.0,8.0,8.0,8.0
50,-0.035991983967935876,20.0,8.0,8.0,8.0,8.0
51,-0.035911823647294595,20.0,8.0,8.0,8.0,8.0
52,-0.03583166332665331,20.0,8.0,8.0,8.0,8.0
53,-0.03575150300601203,20.0,8.0,8.0,8.0,8.0
54,-0.03567134268537075,20.0,8.0,8.0,8.0,8.0
55,-0.03559118236472946,20.0,8.0,8.0,8.0,8.0
56,-0.03551102204408818,20.0,8.0,8.0,8.0,8.0
57,-0.0354308617234469,20.0,8.0,8.0,8.0,8.0
58,-0.035350701402805614,20.0,8.0,8.0,8.0,8.0
59,-0.03527054108216433,20.0,8.0,8.0,8.0,8.0
60,-0.035190380761523046,20.0,8.0,8.0,8.0,8.0
61,-0.035110220440881766,20.0,8.0,8.0,8.0,8.0
62,-0.035030060120240486,20.0,8.0,8.0,8.0,8.0
63,-0.0349498997995992,20.0,8.0,8.0,8.0,8.0
64,-0.03486973947895792,20.0,8.0,8.0,8.0,8.0
65,-0.03478957915831664,20.0,8.0,8.0,8.0,8.0
66,-0.03470941883767535,20.0,8.0,8.0,8.0,8.0
67,-0.03462925851703407,20.0,8.0,8.0,8.0,8.0
68,-0.03454909819639279,20.0,8.0,8.0,8.0,8.0
69,-0.034468937875751504,20.0,8.0,8.0,8.0,8.0
70,-0.034388777555110224,20.0,8.0,8.0,8.0,8.0
71,-0.034308617234468944,20.0,8.0,8.0,8.0,8.0
72,-0.03422845691382766,20.0,8.0,8.0,8.0,8.0
73,-0.03414829659318638,20.0,8.0,8.0,8.0,8.0
74,-0.034068136272545096,20.0,8.0,8.0,8.0,8.0
75,-0.03398797595190381,20.0,8.0,8.0,8.0,8.0
76,-0.03390781563126253,20.0,8.0,8.0,8.0,8.0
