,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,1.3581679999999994,0.0,1.3581679999999994,0.0,1.3581679999999994,0.0,1.3581679999999994,0.0,1.3581679999999994,1.3163799999999999,1.3642830000000004
1,1.0,1.3533177499999995,1.0,1.3496573699999996,1.0,1.3439674399999997,1.0,1.3377924999999995,1.0,1.33113835,1.3163799999999999,1.3642830000000004
2,2.0,1.3490293199999994,2.0,1.342622,2.0,1.3347363549999998,2.0,1.327145755,2.0,1.3176147,1.3163799999999999,1.3642830000000004
3,3.0,1.3454448399999994,3.0,1.3386160349999998,3.0,1.3280938549999999,3.0,1.3208410799999997,3.0,1.3110203700000003,1.3163799999999999,1.3642830000000004
4,,,4.0,1.3350095849999994,4.0,1.3237408199999998,4.0,1.317259715,4.0,1.308030655,1.3163799999999999,1.3642830000000004
5,,,5.0,1.3323717699999997,5.0,1.3204205000000002,5.0,1.31387255,5.0,1.3064415249999999,1.3163799999999999,1.3642830000000004
6,,,,,6.0,1.3183317600000002,6.0,1.312090235,6.0,1.3051593999999997,1.3163799999999999,1.3642830000000004
7,,,,,7.0,1.3170161200000003,7.0,1.3102784,7.0,1.3039669950000001,1.3163799999999999,1.3642830000000004
8,,,,,8.0,1.3145691499999999,8.0,1.3089673999999998,8.0,1.30269916,1.3163799999999999,1.3642830000000004
9,,,,,,,9.0,1.3075389199999998,9.0,1.30161651,1.3163799999999999,1.3642830000000004
10,,,,,,,10.0,1.3060674399999999,10.0,1.3006599300000001,1.3163799999999999,1.3642830000000004
11,,,,,,,,,11.0,1.3000181900000003,1.3163799999999999,1.3642830000000004
12,,,,,,,,,12.0,1.2996934700000002,1.3163799999999999,1.3642830000000004
13,,,,,,,,,13.0,1.2994980000000003,1.3163799999999999,1.3642830000000004
